localId,fileName,uri,shelfmark,form,materialAttribute,materialTextNode,physicalDescription,updatedForm,updatedMaterialAttribute,updatedMaterialTextNode,status,assignee,notes
1,/data/tei/347.xml,http://syriaca.org/manuscript/347,Add MS 14609,codex,perg,,"Vellum, about 9 7/8 in. by 6 1/2, consisting of 187 leaves, many of which are much stained and torn, especially foll. 1 , 12 , 18 , 98 , 121 , 123 , 184 , 186 , and 187 . The quires, signed with letters, are 23 in number. Leaves are wanting after foll. 9 , 92 , 93 , 95 , 96 , 122 , 131 , 137 , 141 , 145 , 151 , 153 , 154 , 155 , 161 , 164 , 165 , 166 , 169 , 171 , 173 and 186 . Each page is divided into two columns, of from 30 to 36 lines.",,,,checked,Claire,
2,/data/tei/1040.xml,http://syriaca.org/manuscript/1040,Add MS 17248,codex,chart,,"Paper, about 6 7/8 in. by 5 1/8, consisting of 140 leaves, some of which are much stained, and torn, especially foll. 1—4, 53, 54, 121, and 136—140. The quires, signed with letters, were 15 or 16 in number. Leaves are wanting at the beginning, as well as after foll. 4, 12 (one), 52 (one), and 136. There are from 18 to 25 lines in each page.",,,,checked,Claire,
3,/data/tei/429.xml,http://syriaca.org/manuscript/429,Add MS 14661,codex,perg,,"Vellum, about 10 in. by 6 1/2, consisting of 73 leaves, a few of which are slightly stained and torn, especially foll. 1 and 56 . The quires, signed with arithmetical figures, are ten in number, the last being imperfect, owing to the loss of two leaves after fol. 72 . There are from 29 to 44 lines in each page.",,,,checked,Claire,
4,/data/tei/119.xml,http://syriaca.org/manuscript/119,Add MS 14447,codex,perg,Vellum,"Vellum, about 7 3/8 in. by 5 1/4, consisting of 32 leaves, the first of which is slightly torn. The quires, four in number (the last imperfect), are signed with letters. Each page has from 26 to 30 lines. This manuscript is written in a neat, regular hand of about the xth cent.,",,,,checked,Claire,
5,/data/tei/1020.xml,http://syriaca.org/manuscript/1020,Add MS 17235,codex,perg,,"Paper, about 10 in. by 6 3/4, consisting of 90 leaves, some of which are much torn, especially foll. 46, 55, 56, 60—62, 68, 69, and 90. The quires, 13 in number, are signed with letters, from ܐ to ܘ and from ܗ to ܝܐ. Leaves are wanting after foll. 55, 61, 67, and 89. There are from 21 to 28 lines in each page.",,chart,,checked,Claire,
6,/data/tei/356.xml,http://syriaca.org/manuscript/356,Add MS 14616,codex,perg,,"Vellum, about 8 1/4 in. by 5 1/8, consisting of 123 leaves, many of which are much stained and torn, especially foll. 1—5 , 18 , 19 , 22 , 24—26 , 31 , 35 , 41—46 , 52 , 77 , 78 , 81 , 93 , 106 , 107 , and 115 . The quires must originally have been at least 17 in number, but the seventh and the last are lost, and there is also a lacuna after fol. 68 . They are signed with letters, from ܐ to ܥ . The number of lines in each page varies from 18 to 28.",,,,checked,Claire,
7,/data/tei/911.xml,http://syriaca.org/manuscript/911,Add MS 17216,,,,,,,,checked,Claire,
8,/data/tei/911.xml,http://syriaca.org/manuscript/912,Add MS 17216 fol. 1,leaf,perg,Vellum,"A vellum leaf, 8 5/8 in. by 5 1/2, much stained and torn.",,,,checked,Claire,
9,/data/tei/911.xml,http://syriaca.org/manuscript/913,Add MS 17216 foll. 2-14,other,perg,Vellum,"Thirteen vellum leaves, about 11 in. by 8, several of which are much stained and torn, and two are mere fragments. From 32 to 41 lines.",,,,checked,Claire,
10,/data/tei/911.xml,http://syriaca.org/manuscript/914,Add MS 17216 foll. 15-25,other,perg,Vellum,"Eleven vellum leaves, about 10 3/8 in. by 7 1/2, nearly all more or less stained and mutilated. Each page is divided into two columns, of from 37 to 40 lines. These leaves belong to the service-book Add. 14,509 .",,,,checked,Claire,
11,/data/tei/911.xml,http://syriaca.org/manuscript/915,Add MS 17216 foll. 26-27,other,perg,Vellum,"Two vellum leaves, much soiled and torn, about 10 1/4 in. by 7 7/8.",,,,checked,Claire,
12,/data/tei/911.xml,http://syriaca.org/manuscript/916,Add MS 17216 foll. 28-31,other,perg,Vellum,"Four vellum leaves, about 10 7/8 in. by 7 1/8, the first and last of which are much torn. There are 29 or 30 lines in each page.",,,,checked,Claire,
13,/data/tei/911.xml,http://syriaca.org/manuscript/917,Add MS 17216 foll. 32-33,other,perg,Vellum,"Two vellum leaves, 9 1/2 in. by 6 7/8.",,,,checked,Claire,
14,/data/tei/911.xml,http://syriaca.org/manuscript/918,Add MS 17216 foll. 34-42,other,perg,Vellum,"Nine vellum leaves, about 9 5/8 in. by 6 3/4, most of which are much stained and soiled. There are from 18 to 21 lines in each page.",,,,checked,Claire,
15,/data/tei/911.xml,http://syriaca.org/manuscript/919,Add MS 17216 fol. 43,leaf,perg,Vellum,"A vellum leaf, much stained and torn, evidently the last of a volume.",,,,checked,Claire,
16,/data/tei/911.xml,http://syriaca.org/manuscript/920,Add MS 17216 fol. 44,leaf,perg,Vellum,"A vellum leaf, 10 7/8 in. by 7 1/8, much soiled.",,,,checked,Claire,
17,/data/tei/911.xml,http://syriaca.org/manuscript/921,Add MS 17216 fol. 45,leaf,perg,Vellum,"A vellum leaf, much mutilated.",,,,checked,Claire,
18,/data/tei/911.xml,http://syriaca.org/manuscript/922,Add MS 17216 fol. 46,leaf,perg,Vellum,"A vellum leaf, about 10 1/4 in. by 7, much soiled and torn, evidently one of the flyleaves of a manuscript.",,,,checked,Claire,
19,/data/tei/911.xml,http://syriaca.org/manuscript/923,Add MS 17216 fol. 47,leaf,perg,Vellum,"A vellum leaf, about 10 1/4 in. by 7 5/8, much torn.",,,,checked,Claire,
20,/data/tei/911.xml,http://syriaca.org/manuscript/924,Add MS 17216 fol. 48,leaf,perg,Vellum,"A vellum leaf, about 10 ¼ in. by 7.",,,,checked,Claire,
21,/data/tei/911.xml,http://syriaca.org/manuscript/925,Add MS 17216 fol. 49,leaf,perg,Vellum,"A vellum leaf, 11 in. by 7 ¼.",,,,checked,Claire,
22,/data/tei/911.xml,http://syriaca.org/manuscript/926,Add MS 17215 fol. 50,leaf,perg,Vellum,"A vellum leaf, about 9 7/8 in. by 6 5/8 much torn.",,,,checked,Claire,
23,/data/tei/911.xml,http://syriaca.org/manuscript/927,Add MS 17216 fol. 51,leaf,perg,Vellum,The upper half of a vellum leaf.,,,,checked,Claire,
24,/data/tei/911.xml,http://syriaca.org/manuscript/928,Add MS 17216 foll. 52-53,other,perg,Vellum,"Two vellum leaves, l0 ¾ in. by 6 7/8, apparently fly-leaves of the same manuscript.",,,,checked,Claire,
25,/data/tei/748.xml,http://syriaca.org/manuscript/748,Add MS 17119,codex,mixed,Vellum|Paper,"Vellum, about 8 3/4 in. by 5 1/4, consisting of 83 leaves, some of which are much stained and others slightly torn, especially foll. 63 and 83. The quires are at present signed with letters, from ܐ to ܛ, but what the original signatures were, can no longer be discerned. There are from 19 to 24 lines in each page.",,perg,,checked,Claire,
26,/data/tei/1.xml,http://syriaca.org/manuscript/1,Add MS 12133,,,,,,,,checked,Claire,
27,/data/tei/1.xml,http://syriaca.org/manuscript/2,Add MS 12133 foll. 1-108,codex,perg,Vellum,"Vellum, about 9 3/4 in. by 6 1/2, consisting of 108 leaves. The quires, eleven in number, are signed with both letters and arithmetical figures, thus: etc. There are from 20 to 22 lines in each page. The character is an elegant, regular Esṭrangĕlā, of the earlier half of the viiithcent. Vowels have been added in a few cases by a later hand (e.g. foll. 15 band 16 a, ܻܰܽ, ܻܽ, ܻܺܽ, ܻܳܽ, , ).",,,,checked,Claire,
