fileLocation	msUri	shelfmarkSimplified	shelfmark	recordTitle
/data/tei/1.xml	http://syriaca.org/manuscript/3	BL Add MS 12133, foll. 109-169	Add. 12,133, foll. 109–169	London, BL, Add. 12133
/data/tei/1.xml	http://syriaca.org/manuscript/2	BL Add MS 12133, foll. 1-108	Add. 12,133, foll. 1–108	London, BL, Add. 12133
/data/tei/1.xml	http://syriaca.org/manuscript/1	BL Add MS 12133	Add. 12,133	London, BL, Add. 12133
/data/tei/10.xml	http://syriaca.org/manuscript/10	BL Add MS 12178	Add. 12,178	London, BL, Add. 12178
/data/tei/100.xml	http://syriaca.org/manuscript/102	BL Add MS 14438, foll. 53-101	Add. 14,438, foll. 53–101	London, BL, Add. 14438
/data/tei/100.xml	http://syriaca.org/manuscript/1183	BL Add MS 14438, foll. 50-52	Add. 14,438, foll. 50–52	London, BL, Add. 14438
/data/tei/100.xml	http://syriaca.org/manuscript/101	BL Add MS 14438, foll. 1-49	Add. 14,438, foll. 1–49	London, BL, Add. 14438
/data/tei/100.xml	http://syriaca.org/manuscript/100	BL Add MS 14438	Add. 14,438	London, BL, Add. 14438
/data/tei/1002.xml	http://syriaca.org/manuscript/1002	BL Add MS 17225	Add. 17,225	London, BL, Add. 17225
/data/tei/1003.xml	http://syriaca.org/manuscript/1003	BL Add MS 17226	Add. 17,226	London, BL, Add. 17226
/data/tei/1004.xml	http://syriaca.org/manuscript/1004	BL Add MS 17227	Add. 17,227	London, BL, Add. 17227
/data/tei/1005.xml	http://syriaca.org/manuscript/1007	BL Add MS 17228, foll. 38-64	Add. 17,228, foll. 38–64	London, BL, Add. 17228
/data/tei/1005.xml	http://syriaca.org/manuscript/1006	BL Add MS 17228, foll. 1-37	Add. 17,228, foll. 1–37	London, BL, Add. 17228
/data/tei/1005.xml	http://syriaca.org/manuscript/1005	BL Add MS 17228	Add. 17,228	London, BL, Add. 17228
/data/tei/1008.xml	http://syriaca.org/manuscript/1010	BL Add MS 17229, foll. 48-77	Add. 17,229, foll. 48–77	London, BL, Add. 17229
/data/tei/1008.xml	http://syriaca.org/manuscript/1009	BL Add MS 17229, foll. 1-47	Add. 17,229, foll. 1–47	London, BL, Add. 17229
/data/tei/1008.xml	http://syriaca.org/manuscript/1008	BL Add MS 17229	Add. 17,229	London, BL, Add. 17229
/data/tei/1011.xml	http://syriaca.org/manuscript/1013	BL Add MS 17230, foll. 20-46	Add. 17,230, foll. 20–46	London, BL, Add. 17230
/data/tei/1011.xml	http://syriaca.org/manuscript/1012	BL Add MS 17230, foll. 1-19	Add. 17,230, foll. 1–19	London, BL, Add. 17230
/data/tei/1011.xml	http://syriaca.org/manuscript/1011	BL Add MS 17230	Add. 17,230	London, BL, Add. 17230
/data/tei/1014.xml	http://syriaca.org/manuscript/1014	BL Add MS 17231	Add. 17,231	London, BL, Add. 17231
/data/tei/1015.xml	http://syriaca.org/manuscript/1015	BL Add MS 17232	Add. 17,232	London, BL, Add. 17232
/data/tei/1016.xml	http://syriaca.org/manuscript/1018	BL Add MS 17233, foll. 80-151	Add. 17,233, foll. 80–151	London, BL, Add. 17233
/data/tei/1016.xml	http://syriaca.org/manuscript/1017	BL Add MS 17233, foll. 1-79	Add. 17,233, foll. 1–79	London, BL, Add. 17233
/data/tei/1016.xml	http://syriaca.org/manuscript/1016	BL Add MS 17233	Add. 17,233	London, BL, Add. 17233
/data/tei/1019.xml	http://syriaca.org/manuscript/1019	BL Add MS 17234	Add. 17,234	London, BL, Add. 17234
/data/tei/1020.xml	http://syriaca.org/manuscript/1020	BL Add MS 17235	Add. 17,235	London, BL, Add. 17235
/data/tei/1021.xml	http://syriaca.org/manuscript/1021	BL Add MS 17236	Add. 17,236	London, BL, Add. 17236
/data/tei/1022.xml	http://syriaca.org/manuscript/1022	BL Add MS 17237	Add. 17,237	London, BL, Add. 17237
/data/tei/1023.xml	http://syriaca.org/manuscript/1023	BL Add MS 17238	Add. 17,238	London, BL, Add. 17238
/data/tei/1024.xml	http://syriaca.org/manuscript/1026	BL Add MS 17239, foll. 16-60	Add. 17,239, foll. 16–60	London, BL, Add. 17239
/data/tei/1024.xml	http://syriaca.org/manuscript/1025	BL Add MS 17239, foll. 1-15	Add. 17,239, foll. 1–15	London, BL, Add. 17239
/data/tei/1024.xml	http://syriaca.org/manuscript/1024	BL Add MS 17239	Add. 17,239	London, BL, Add. 17239
/data/tei/1027.xml	http://syriaca.org/manuscript/1027	BL Add MS 17240	Add. 17,240	London, BL, Add. 17240
/data/tei/1028.xml	http://syriaca.org/manuscript/1028	BL Add MS 17241	Add. 17,241	London, BL, Add. 17241
/data/tei/1029.xml	http://syriaca.org/manuscript/1031	BL Add MS 17242, foll. 105-127	Add. 17,242, foll. 105–127	London, BL, Add. 17242
/data/tei/1029.xml	http://syriaca.org/manuscript/1030	BL Add MS 17242, foll. 1-104	Add. 17,242, foll. 1–104	London, BL, Add. 17242
/data/tei/1029.xml	http://syriaca.org/manuscript/1029	BL Add MS 17242	Add. 17,242	London, BL, Add. 17242
/data/tei/103.xml	http://syriaca.org/manuscript/103	BL Add MS 14439	Add. 14,439	London, BL, Add. 14439
