syriacaBiblUri,syriacaZoteroUri,cbscZoteroUri,syriaca_year,cbsc_year,syriaca_authors-editors,cbsc_authors-editors,syriaca_title,cbsc_title,match-type,correctedCBSCMatch,notes,checkedBy,status,hasPossibleMatch,potentialMatchNumber
http://syriaca.org/bibl/1387,https://zotero.org/groups/392292/items/P84Q52PE,,,,,,,,5. no match,,,,not checked,FALSE,1
http://syriaca.org/bibl/142,,,,,,,,,5. no match,,,,not checked,FALSE,1
http://syriaca.org/bibl/961,,,,,,,,,5. no match,,,,not checked,FALSE,1
http://syriaca.org/bibl/484,,,,,,,,,5. no match,,,,not checked,FALSE,1
http://syriaca.org/bibl/1042,,,,,,,,,5. no match,,,,not checked,FALSE,1
http://syriaca.org/bibl/668,,,,,,,,,5. no match,,,,not checked,FALSE,1
http://syriaca.org/bibl/512,,,,,,,,,5. no match,,,,not checked,FALSE,1
http://syriaca.org/bibl/2462,https://zotero.org/groups/392292/items/9GW6KGNQ,,,,,,,,5. no match,,,,not checked,FALSE,1
http://syriaca.org/bibl/1394,https://zotero.org/groups/392292/items/QHR2VCFB,http://zotero.org/groups/4861694/items/AST4JNK5,1899,1899,"Sachau,","Sachau,","Verzeichniss der syrischen handschriften der Königlichen bibliothek zu
        Berlin,","Verzeichniss der syrischen Handschriften der Königlichen Bibliothek zu
        Berlin","3. exact creators and year, fuzzy title",,,,not checked,TRUE,1
http://syriaca.org/bibl/1953,https://zotero.org/groups/392292/items/VB67SIH7,http://zotero.org/groups/4861694/items/DANMCEV2,1871,1871,"Schröter,","Schröter,","Gedicht des Jakob von Sarug über den Palast, den der Apostel Thomas in Indien
        baute","Gedicht des Jakob von Sarug über den Palast, den der Apostel Thomas in Indien
        baute","3. exact creators and year, fuzzy title",,,,not checked,TRUE,1
http://syriaca.org/bibl/215,,http://zotero.org/groups/4861694/items/FN9JSMNL,2011,2011,"ter Haar Romeny, Butts (ed.), Kiraz (ed.), Van Rompay (ed.), Brock
        (ed.)","ter Haar Romeny, Butts (ed.), Kiraz (ed.), van Rompay (ed.), Brock
        (ed.)","Exegesis, Old Testament","Exegesis, Old Testament","2. exact title and year, fuzzy creators",,,,not checked,TRUE,1
http://syriaca.org/bibl/634,,http://zotero.org/groups/4861694/items/WSNCB2N9,1985,1985,"Drijvers,","Drijvers,",Jews and Christians at Edessa,JJS | Jews and Christians at Edessa,"3. exact creators and year, fuzzy title",,,,not checked,TRUE,1
http://syriaca.org/bibl/1807,https://zotero.org/groups/392292/items/SWAR7BHN,,,,,,,,5. no match,,,,not checked,FALSE,1
http://syriaca.org/bibl/1975,https://zotero.org/groups/392292/items/FV4UPXAS,http://zotero.org/groups/4861694/items/INHA728S,1920,1920,"Mingana,","Mingana,","New Documents on Philoxenus of Hierapolis, and on the Philoxenian Version of
        the Bible","New Documents on Philoxenus of Hierapolis, and on the Philoxenian Version of the
        Bible","3. exact creators and year, fuzzy title",,,,not checked,TRUE,1
http://syriaca.org/bibl/448,,,,,,,,,5. no match,,,,not checked,FALSE,1
