syriacaBiblUri,syriacaZoteroUri,syriacaCmosFormattedCitation,cbscZoteroUri,syriaca_year,cbsc_year,syriaca_authors-editors,cbsc_authors-editors,syriaca_title,cbsc_title,match-type,correctedCBSCMatch,notes,checkedBy,status,hasPossibleMatch,potentialMatchNumber
http://syriaca.org/bibl/1387,https://zotero.org/groups/392292/items/P84Q52PE,,,1864,,"William Cureton, ",,"Ancient Syriac documents relative to the earliest establishment of
                ...",,5. no match,,,,not checked,FALSE,1
http://syriaca.org/bibl/142,,,,2011,,"Harrak, Butts (ed.), Kiraz (ed.), Van Rompay (ed.), Brock (ed.)",,"Chronicles, Syriac",,5. no match,,,,not checked,FALSE,1
http://syriaca.org/bibl/961,,,,1973,,"Mundadan, Hambye (ed.), Perumalil (ed.)",,"Origins of Christianity in India (1st-6th
                     century)",,5. no match,,,,not checked,FALSE,1
http://syriaca.org/bibl/484,,,,2011,,"Amar, Butts (ed.), Kiraz (ed.), Van Rompay (ed.), Brock (ed.)",,"Ṣawma, Rabban",,5. no match,,,,not checked,FALSE,1
http://syriaca.org/bibl/1042,,,,1909,,"Lawlor, ",,"The Chronology of Eusebius’ Martyrs of
                     Palestine",,5. no match,,,,not checked,FALSE,1
http://syriaca.org/bibl/668,,,,1903,,", Brooks (ed.), Brooks (ed.)",,The Sixth Book of the Select Letters of | Translation | in the Syriac Version of,,5. no match,,,,not checked,FALSE,1
http://syriaca.org/bibl/512,,,,2011,,"Kiraz, Butts (ed.), Kiraz (ed.), Van Rompay (ed.), Brock (ed.)",,"Shemʿun II, Basileios",,5. no match,,,,not checked,FALSE,1
http://syriaca.org/bibl/2462,https://zotero.org/groups/392292/items/9GW6KGNQ,,,1913,,", Pollak (ed.)",,Die Hermeneutik des Aristoteles in der arabischen Übersetzung des Isḥāḳ ibn Ḥonain,,5. no match,,,,not checked,FALSE,1
http://syriaca.org/bibl/1394,https://zotero.org/groups/392292/items/QHR2VCFB,,http://zotero.org/groups/4861694/items/AST4JNK5,1899,1899,"Sachau,","Sachau,","Verzeichniss der syrischen handschriften der Königlichen bibliothek zu
        Berlin,","Verzeichniss der syrischen Handschriften der Königlichen Bibliothek zu
        Berlin","3. exact creators and year, fuzzy title",,,,not checked,TRUE,1
http://syriaca.org/bibl/1953,https://zotero.org/groups/392292/items/VB67SIH7,,http://zotero.org/groups/4861694/items/DANMCEV2,1871,1871,"Schröter,","Schröter,","Gedicht des Jakob von Sarug über den Palast, den der Apostel Thomas in Indien
        baute","Gedicht des Jakob von Sarug über den Palast, den der Apostel Thomas in Indien
        baute","3. exact creators and year, fuzzy title",,,,not checked,TRUE,1
http://syriaca.org/bibl/215,,,http://zotero.org/groups/4861694/items/FN9JSMNL,2011,2011,"ter Haar Romeny, Butts (ed.), Kiraz (ed.), Van Rompay (ed.), Brock
        (ed.)","ter Haar Romeny, Butts (ed.), Kiraz (ed.), van Rompay (ed.), Brock
        (ed.)","Exegesis, Old Testament","Exegesis, Old Testament","2. exact title and year, fuzzy creators",,,,not checked,TRUE,1
http://syriaca.org/bibl/634,,,http://zotero.org/groups/4861694/items/WSNCB2N9,1985,1985,"Drijvers,","Drijvers,",Jews and Christians at Edessa,JJS | Jews and Christians at Edessa,"3. exact creators and year, fuzzy title",,,,not checked,TRUE,1
http://syriaca.org/bibl/1807,https://zotero.org/groups/392292/items/SWAR7BHN,,,2011,,"Amar, ",,The Syriac vita tradition of Ephrem the Syrian [Text],,5. no match,,,,not checked,FALSE,1
http://syriaca.org/bibl/1975,https://zotero.org/groups/392292/items/FV4UPXAS,,http://zotero.org/groups/4861694/items/INHA728S,1920,1920,"Mingana,","Mingana,","New Documents on Philoxenus of Hierapolis, and on the Philoxenian Version of
        the Bible","New Documents on Philoxenus of Hierapolis, and on the Philoxenian Version of the
        Bible","3. exact creators and year, fuzzy title",,,,not checked,TRUE,1
http://syriaca.org/bibl/448,,,,2011,,"Van Rompay, Butts (ed.), Kiraz (ed.), Van Rompay (ed.), Brock (ed.)",,Qara,,5. no match,,,,not checked,FALSE,1
http://syriaca.org/bibl/2262,https://zotero.org/groups/392292/items/XGQ5H8QU,,http://zotero.org/groups/4861694/items/3LXRBDXD,2008,2008,"Kanaan,","Kanaan,","Legends, Places and Traditions Related to the Cult of Saint George in
        Lebanon","Legends, Places and Traditions Related to the Cult of Saint George in
        Lebanon","3. exact creators and year, fuzzy title",,,,not checked,TRUE,1
http://syriaca.org/bibl/726,,,,1944,,"Jugie, ",,"La mort et l’Assomption de la sainte Vierge. Étude
                     historico-doctrinale",,5. no match,,,,not checked,FALSE,1
http://syriaca.org/bibl/366,,,,2011,,"Brock, Butts (ed.), Kiraz (ed.), Van Rompay (ed.), Brock (ed.)",,Martyrs and persecutions,,5. no match,,,,not checked,FALSE,1
http://syriaca.org/bibl/898,,,http://zotero.org/groups/4861694/items/698TKNIB,1969,1969,"Blum,","Blum,","Rabbula von Edessa. Der Christ, der Bischof, der Theologe","Rabbula von Edessa. Der Christ, der Bischof, der Theologie","3. exact creators and year, fuzzy title",,,,not checked,TRUE,1
http://syriaca.org/bibl/877,,,,1979,,"Dehandschutter, ",,"Martyrium Polycarpi. Een literair-kritische
                     studie",,5. no match,,,,not checked,FALSE,1
http://syriaca.org/bibl/962,,,http://zotero.org/groups/4861694/items/DPLLSCMG,1984,1984,"Neill,","Neill,",A History of Christianity in India. The Beginnings to AD 1707,A History of Christianity in India: The Beginnings to AD 1707,"3. exact creators and year, fuzzy title",,,,not checked,TRUE,1
http://syriaca.org/bibl/365,,,,2011,,"Amar, Butts (ed.), Kiraz (ed.), Van Rompay (ed.), Brock (ed.)",,Maronite Church,,5. no match,,,,not checked,FALSE,1
http://syriaca.org/bibl/2063,https://zotero.org/groups/392292/items/GMST93RP,,,1875,,", Zarncke (ed.)",,Eine zweite Redaction der Georgslegende aus dem 9. Jahrhunderte,,5. no match,,,,not checked,FALSE,1
http://syriaca.org/bibl/409,,,,2011,,"Takahashi, Butts (ed.), Kiraz (ed.), Van Rompay (ed.), Brock (ed.)",,Nisibis,,5. no match,,,,not checked,FALSE,1
http://syriaca.org/bibl/670,,,,1919,,", Brooks (ed.)",,Letters I to LXI,,5. no match,,,,not checked,FALSE,1
http://syriaca.org/bibl/422,,,,2011,,"Butts, Butts (ed.), Kiraz (ed.), Van Rompay (ed.), Brock (ed.)",,"Papyri, Syriac",,5. no match,,,,not checked,FALSE,1
http://syriaca.org/bibl/405,,,,2011,,"Takahashi, Butts (ed.), Kiraz (ed.), Van Rompay (ed.), Brock (ed.)",,Nicolaus of Damascus,,5. no match,,,,not checked,FALSE,1
http://syriaca.org/bibl/185,,,,2011,,"Brock, Butts (ed.), Kiraz (ed.), Van Rompay (ed.), Brock (ed.)",,"Draguet, René",,5. no match,,,,not checked,FALSE,1
http://syriaca.org/bibl/131,,,,2011,,"Leonhard, Butts (ed.), Kiraz (ed.), Van Rompay (ed.), Brock (ed.)",,Cave of Treasures,,5. no match,,,,not checked,FALSE,1
http://syriaca.org/bibl/759,,,http://zotero.org/groups/4861694/items/NIC5VEC6,1967,1967,"Devos,","Devos,",Égérie à Édesse. S. Thomas l’Apôtre. Le roi Abgar,Égérie à Edesse. S. Thomas l’apôtre. Le roi Abgar,"3. exact creators and year, fuzzy title",,,,not checked,TRUE,1
http://syriaca.org/bibl/2220,https://zotero.org/groups/392292/items/9VFF7ZAM,,http://zotero.org/groups/4861694/items/HH69DKLQ,2002,2002,"Biesen,","den Biesen,",Bibliography of Ephrem the Syrian,Bibliography of Ephrem the Syrian,"2. exact title and year, fuzzy creators",,,,not checked,TRUE,1
http://syriaca.org/bibl/2325,,,,1874,,", Mösinger (ed.)",,"Acta S.S. martyrum Edessenorum Sarbelii, Barsimaei, Guriae, Samonae et Abibi",,5. no match,,,,not checked,FALSE,1
http://syriaca.org/bibl/931,,,,1952,,"Placid, ",,The South Indian Apostolate of St. Thomas,,5. no match,,,,not checked,FALSE,1
http://syriaca.org/bibl/53,,,,2011,,"Coakley, Brock, Butts (ed.), Kiraz (ed.), Van Rompay (ed.), Brock (ed.)",,Arameans,,5. no match,,,,not checked,FALSE,1
http://syriaca.org/bibl/2079,https://zotero.org/groups/392292/items/JC2NXQXT,,,1911,,"Société des Bollandistes, ",,Bibliotheca hagiographica latina antiquae et mediae aetatis: Supplementi,,5. no match,,,,not checked,FALSE,1
http://syriaca.org/bibl/257,,,,2011,,"Van Rompay, Butts (ed.), Kiraz (ed.), Van Rompay (ed.), Brock (ed.)",,"al-Ḥāqilānī, Ibrāhīm",,5. no match,,,,not checked,FALSE,1
http://syriaca.org/bibl/132,,,,2011,,"Van Rompay, Butts (ed.), Kiraz (ed.), Van Rompay (ed.), Brock (ed.)",,"Ceriani, Antonio Maria",,5. no match,,,,not checked,FALSE,1
http://syriaca.org/bibl/315,,,,2011,,"Brock, Butts (ed.), Kiraz (ed.), Van Rompay (ed.), Brock (ed.)",,John Philoponos,,5. no match,,,,not checked,FALSE,1
http://syriaca.org/bibl/597,,,,2011,,"Brock, Butts (ed.), Kiraz (ed.), Van Rompay (ed.), Brock (ed.)",,Yawsep Busnaya,,5. no match,,,,not checked,FALSE,1
http://syriaca.org/bibl/1910,https://zotero.org/groups/392292/items/I9P57EFX,,http://zotero.org/groups/4861694/items/QG25TEYW,1907,1907,"Scher,","Scher,",Notice sur la vie et les oeuvres de Yoḥannan bar Penkayê,Notice sur la vie et les œuvres de Yohannan bar Penkayê,"3. exact creators and year, fuzzy title",,,,not checked,TRUE,1
http://syriaca.org/bibl/988,,,http://zotero.org/groups/4861694/items/2T6FWIUY,1904,1904,"Preuschen,","Preuschen,",Zwei gnostische Hymnen,Zwei gnostische Hymnen,1. exact match,,,,not checked,TRUE,1
http://syriaca.org/bibl/228,,,,2011,,"Brock, Butts (ed.), Kiraz (ed.), Van Rompay (ed.), Brock (ed.)",,Galen,,5. no match,,,,not checked,FALSE,1
http://syriaca.org/bibl/623,,,,2011,,"Kiraz, Butts (ed.), Kiraz (ed.), Van Rompay (ed.), Brock (ed.)",,Yuḥanon Qashisho,,5. no match,,,,not checked,FALSE,1
http://syriaca.org/bibl/918,,,,1913,,"Peeters, ",,CR de Weyh,,5. no match,,,,not checked,FALSE,1
http://syriaca.org/bibl/656,,,,2013,,"Dum-Tragut, Winkler (ed.), Tang (ed.)",,Assyrians in Armenia: An Interdisciplinary Study,,5. no match,,,,not checked,FALSE,1
http://syriaca.org/bibl/1791,https://zotero.org/groups/392292/items/FJEMIDAV,,,1898,,"Chabot, ",,Histoire de Jésus-Sabran,,5. no match,,,,not checked,FALSE,1
http://syriaca.org/bibl/1078,,,,1983,,"Gribomont, ",,"Le plus ancien Transitus Marial et
                     l’encratisme",,5. no match,,,,not checked,FALSE,1
http://syriaca.org/bibl/908,,,,1965,,"Devos, ",,"Abgar hagiographe perse méconnu (début du Ve
                     siècle)",,5. no match,,,,not checked,FALSE,1
