creators,date,title,sandbox_URI,searchURL_CreatorDate,searchURL_Title,CBSS_URI,notes,status,assignee
", ",1993,"A Homily on Our Lord and Jacob, On the Church and Rachel, and on Leah and the Synagogue, by Mar Jacob, Bishop of Serugh",http://zotero.org/groups/5027921/items/UHQ65B6C,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/1993/titleCreatorYear,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/A%20Homily%20on%20Our%20Lord%20and%20Jacob%2C%20On%20the%20Church%20and%20Rachel%2C%20and%20on%20Leah%20and%20the%20Synagogue%2C%20by%20Mar%20Jacob%2C%20Bishop%20of%20Serugh/titleCreatorYear,,,to do,
"Abbeloos, ",1885,"Acta Sancti Maris, Assyriæ, Babyloniæ ac Persidis seculo I apostoli,",http://zotero.org/groups/5027921/items/4BBWQNKB,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Abbeloos%201885/titleCreatorYear,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Acta%20Sancti%20Maris%2C%20Assyri%C3%A6%2C%20Babyloni%C3%A6%20ac%20Persidis%20seculo%20I%20apostoli%2C/titleCreatorYear,,,to do,
"Abdalla, ",1986,Z kręgu folkloru chrześcijańskich Asyryjczyków,http://zotero.org/groups/5027921/items/G5RJJADA,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Abdalla%201986/titleCreatorYear,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Z%20kr%C4%99gu%20folkloru%20chrze%C5%9Bcija%C5%84skich%20Asyryjczyk%C3%B3w/titleCreatorYear,,,to do,
"AbouZayd, ",1989,The Acts of Thomas and the Unity of the Dualistic World in the Syrian Orient,http://zotero.org/groups/5027921/items/8MRUETCI,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/AbouZayd%201989/titleCreatorYear,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/The%20Acts%20of%20Thomas%20and%20the%20Unity%20of%20the%20Dualistic%20World%20in%20the%20Syrian%20Orient/titleCreatorYear,,,to do,
"AbouZayd, ",1993,Sebastian Paul Brock: Life and Work,http://zotero.org/groups/5027921/items/8SVVGVNP,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/AbouZayd%201993/titleCreatorYear,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Sebastian%20Paul%20Brock%3A%20Life%20and%20Work/titleCreatorYear,,,to do,
"AbouZayd, ",1993,Ihidayutha: A Study of the Life of Singleness in the Syrian Orient. From Ignatius of Antioch to Chalcedon 451 A.D.,http://zotero.org/groups/5027921/items/3NYT4WJR,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/AbouZayd%201993/titleCreatorYear,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Ihidayutha%3A%20A%20Study%20of%20the%20Life%20of%20Singleness%20in%20the%20Syrian%20Orient.%20From%20Ignatius%20of%20Antioch%20to%20Chalcedon%20451%20A.D./titleCreatorYear,,,to do,
"AbouZayd, ",2000,"Violence and Killing in the<hi rend=""italics"">Liber Graduum</hi>",http://zotero.org/groups/5027921/items/QXENFGZN,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/AbouZayd%202000/titleCreatorYear,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Violence%20and%20Killing%20in%20the%3Chi%20rend%3D%22italics%22%3ELiber%20Graduum%3C%2Fhi%3E/titleCreatorYear,,,to do,
"AbouZayd, ",2005,The Prohibition and the Use of Alcohol in the Syrian Ascetic Tradition and Its Biblical and Spiritual Origins,http://zotero.org/groups/5027921/items/DXTRGCN2,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/AbouZayd%202005/titleCreatorYear,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/The%20Prohibition%20and%20the%20Use%20of%20Alcohol%20in%20the%20Syrian%20Ascetic%20Tradition%20and%20Its%20Biblical%20and%20Spiritual%20Origins/titleCreatorYear,,,to do,
"AbouZayd, ",2020,Animals in Early Syrian Christian Ascetics Spirituality,http://zotero.org/groups/5027921/items/8K5AJREJ,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/AbouZayd%202020/titleCreatorYear,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Animals%20in%20Early%20Syrian%20Christian%20Ascetics%20Spirituality/titleCreatorYear,,,to do,
"Badawi, AbouZayd, ",2003,Mlikh: étude préliminaire historique et archéologique,http://zotero.org/groups/5027921/items/DLFHPZIA,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Badawi%20AbouZayd%202003/titleCreatorYear,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Mlikh%3A%20%C3%A9tude%20pr%C3%A9liminaire%20historique%20et%20arch%C3%A9ologique/titleCreatorYear,,,to do,
