Book Review URI,Book Review CBSS URI,Title,Creator,Year,Reviewed Item URI,Reviewed Item CBSS URI,Is Reviewed Item Deprecated
http://zotero.org/groups/4861694/items/746W9DQZ,http://syriaca.org/cbss/746W9DQZ,"Review of André de Halleux, Philoxène de Mabbog. Sa vie, ses écrits, sa théologie",Abramowski,1965,http://zotero.org/groups/4861694/items/NGYP4E2U,http://syriaca.org/cbss/NGYP4E2U,False
http://zotero.org/groups/4861694/items/7RZQGQPI,http://syriaca.org/cbss/7RZQGQPI,"Review of Jonathan Loopstra, An East Syrian Manuscript of the Syriac ‘Masora’ Dated to 899 CE: A Facsimile Reproduction of British Library, Add. MS 12138",Aim,2021,http://zotero.org/groups/4861694/items/43972F4K,http://syriaca.org/cbss/43972F4K,False
http://zotero.org/groups/4861694/items/ANU8AYXK,http://syriaca.org/cbss/ANU8AYXK,"Review of Guy Lardreau, Discours philosophique et discours spirituel. Autour de la philosophie spirituelle de Philoxène de Mabboug",Albert,1987,http://zotero.org/groups/4861694/items/LUIVHMGS,http://syriaca.org/cbss/LUIVHMGS,False
http://zotero.org/groups/4861694/items/6U3MT7PP,http://syriaca.org/cbss/6U3MT7PP,"Review of M. Bénédicte Landron, Chrétiens et Musulmans en Irak: Attitudes Nestoriennes vis-à-vis de l’Islam",Alichoran,1997,http://zotero.org/groups/4861694/items/PPA7Z32D,http://syriaca.org/cbss/PPA7Z32D,False
http://zotero.org/groups/4861694/items/5KQ665QQ,http://syriaca.org/cbss/5KQ665QQ,"Review of David Allen Michelson, The Practical Christology of Philoxenos of Mabbug",Allen,2016,http://zotero.org/groups/4861694/items/B8JBVFKI,http://syriaca.org/cbss/B8JBVFKI,False
http://zotero.org/groups/4861694/items/G9P9RB7B,http://syriaca.org/cbss/G9P9RB7B,"Review of Thomas A. Carlson, Christianity in Fifteenth-Century Iraq. Cambridge Studies in Islamic Civilization",Allen,2019-11-15,http://zotero.org/groups/4861694/items/23UBWUGJ,http://syriaca.org/cbss/23UBWUGJ,False
http://zotero.org/groups/4861694/items/JAD9XGAZ,http://syriaca.org/cbss/JAD9XGAZ,"Review of David Heinrich Müller, Hammurabi and Syrian-Roman Law","Aptowitzer, Müller",1907,http://zotero.org/groups/4861694/items/UKPMSICY,http://syriaca.org/cbss/UKPMSICY,False
http://zotero.org/groups/4861694/items/4FAMTHNW,http://syriaca.org/cbss/4FAMTHNW,"Review of David Heinrich Muller, Hammurabi and Syrian-Roman Law","Aptowitzer, Müller",1907,http://zotero.org/groups/4861694/items/HH69DKLQ,http://syriaca.org/cbss/HH69DKLQ,False
http://zotero.org/groups/4861694/items/GYCEV8CK,http://syriaca.org/cbss/GYCEV8CK,"Review of Stuart Weeks, The Book of Tobit. Texts from the Principal Ancient and Medieval Traditions. With Synopsis, Concordances, and Annotated Texts in Aramaic, Hebrew, Greek, Latin and Syriac",Auwers,2006-10-01,http://zotero.org/groups/4861694/items/XJMLHEZT,http://syriaca.org/cbss/XJMLHEZT,False
http://zotero.org/groups/4861694/items/ZTNJHNQ3,http://syriaca.org/cbss/ZTNJHNQ3,"Review of Hans Hollerweger, TURABDIN: Lebendiges Kulturerbe / Living Cultural Heritage / Canli Kültür Mirasi",Aydin,2001,http://zotero.org/groups/4861694/items/L8IHZHW2,http://syriaca.org/cbss/L8IHZHW2,False
http://zotero.org/groups/4861694/items/K9CFNTAQ,http://syriaca.org/cbss/K9CFNTAQ,"Review of Annik Martin, Micheline Albert, Historie “acephale” et index syriaque des Lettres festales d’Athanase d’Alexandrie",Barnes,1986-10-01,http://zotero.org/groups/4861694/items/QCZ8R5X4,http://syriaca.org/cbss/QCZ8R5X4,False
http://zotero.org/groups/4861694/items/LA6S68UH,http://syriaca.org/cbss/LA6S68UH,"Review of Ernest Walter Brooks, James of Edessa. The Hymns of Severus of Antioch and Others","Barnes, Brooks",1911,http://zotero.org/groups/4861694/items/2K3VF8EM,http://syriaca.org/cbss/2K3VF8EM,False
http://zotero.org/groups/4861694/items/EV6K5BYL,http://syriaca.org/cbss/EV6K5BYL,"Review of Johannes Paul Gotthilf Flemming, Adolf Harnack, Ein jüdisch-christliches Psalmbuch aus dem ersten Jahrhundert",Barnes,1910,http://zotero.org/groups/4861694/items/PSI8QLDL,http://syriaca.org/cbss/PSI8QLDL,False
