Deprecated Syriaca URI,CBSS URI
http://syriaca.org/bibl/1311,http://syriaca.org/cbss/82LXM9RL
https://zotero.org/groups/392292/items/4H56HIZF,http://syriaca.org/cbss/82LXM9RL
http://syriaca.org/bibl/830,http://syriaca.org/cbss/FKDSQ5AV
http://syriaca.org/bibl/2178,http://syriaca.org/cbss/922QN2NK
https://zotero.org/groups/392292/items/TIE2FWIE,http://syriaca.org/cbss/922QN2NK
http://syriaca.org/bibl/1764,http://syriaca.org/cbss/LP5XSJR6
https://zotero.org/groups/392292/items/6HVJRPEI,http://syriaca.org/cbss/LP5XSJR6
http://syriaca.org/bibl/1414,http://syriaca.org/cbss/QV5ZWPX2
https://zotero.org/groups/392292/items/W85RXXTV,http://syriaca.org/cbss/QV5ZWPX2
http://syriaca.org/bibl/2487,http://syriaca.org/cbss/9V2R9PII
https://zotero.org/groups/392292/items/XITDSAA3,http://syriaca.org/cbss/9V2R9PII
http://syriaca.org/bibl/2012,http://syriaca.org/cbss/5HFQBUUA
https://zotero.org/groups/392292/items/PJ96RSMP,http://syriaca.org/cbss/5HFQBUUA
http://syriaca.org/bibl/2438,http://syriaca.org/cbss/TB6F26NB
https://zotero.org/groups/392292/items/55T5HA58,http://syriaca.org/cbss/TB6F26NB
http://syriaca.org/bibl/2082,http://syriaca.org/cbss/825KE5HF
https://zotero.org/groups/392292/items/E7SKJ8JU,http://syriaca.org/cbss/825KE5HF
http://syriaca.org/bibl/2429,http://syriaca.org/cbss/XKNYT3HG
https://zotero.org/groups/392292/items/WBEZCVWS,http://syriaca.org/cbss/XKNYT3HG
https://www.zotero.org/groups/4861694/FXXXYWMJ,http://syriaca.org/cbss/2UKYEWA6
http://syriaca.org/bibl/2276,http://syriaca.org/cbss/WPPKIN4K
https://zotero.org/groups/392292/items/FDFMCG9I,http://syriaca.org/cbss/WPPKIN4K
http://syriaca.org/bibl/1767,http://syriaca.org/cbss/YMGH99IE
https://zotero.org/groups/392292/items/FM2U6S64,http://syriaca.org/cbss/YMGH99IE
https://www.zotero.org/groups/4861694/EIBDC3TI,http://syriaca.org/cbss/CWXP42DD
https://www.zotero.org/groups/4861694/UNTDSJDH,http://syriaca.org/cbss/GVX9UG6G
http://syriaca.org/bibl/957,http://syriaca.org/cbss/GVX9UG6G
https://www.zotero.org/groups/4861694/4T88HCKY,http://syriaca.org/cbss/7IYCCJQR
https://www.zotero.org/groups/4861694/Y98H67CX,http://syriaca.org/cbss/7EFB7ZUZ
https://www.zotero.org/groups/4861694/IPZMWBEC,http://syriaca.org/cbss/MF7M9CXJ
https://www.zotero.org/groups/4861694/ZUDVECFE,http://syriaca.org/cbss/ZR5CX4UC
https://www.zotero.org/groups/4861694/8HBKPFQ2,http://syriaca.org/cbss/INF22P3C
https://www.zotero.org/groups/4861694/AFWCBAIU,http://syriaca.org/cbss/2LHQBX7M
http://syriaca.org/bibl/735,http://syriaca.org/cbss/FBDMW32J
https://www.zotero.org/groups/4861694/WQZQ7VX3,http://syriaca.org/cbss/6Z9VEKNY
http://syriaca.org/bibl/884,http://syriaca.org/cbss/P2ZFM7BN
http://syriaca.org/bibl/2176,http://syriaca.org/cbss/P2ZFM7BN
https://zotero.org/groups/392292/items/QSWPCNAH,http://syriaca.org/cbss/P2ZFM7BN
http://syriaca.org/bibl/4ELQNR8R,http://syriaca.org/cbss/ARM8WWSX
https://zotero.org/groups/392292/items/4ELQNR8R,http://syriaca.org/cbss/ARM8WWSX
http://syriaca.org/bibl/BAEZEC37,http://syriaca.org/cbss/77EAQFG8
https://zotero.org/groups/392292/items/BAEZEC37,http://syriaca.org/cbss/77EAQFG8
http://syriaca.org/bibl/2177,http://syriaca.org/cbss/TZUJB5A5
https://zotero.org/groups/392292/items/QT93I7EK,http://syriaca.org/cbss/TZUJB5A5
https://zotero.org/groups/392292/items/6536NXQX,http://syriaca.org/cbss/7T8JA7CJ
http://syriaca.org/bibl/2075,http://syriaca.org/cbss/VWBVI39J
https://zotero.org/groups/392292/items/2SIV6W8C,http://syriaca.org/cbss/VWBVI39J
https://www.zotero.org/groups/4861694/T2CHH8V7,http://syriaca.org/cbss/CZASYFIG
https://www.zotero.org/groups/4861694/NYWYN6EC,http://syriaca.org/cbss/QP5A7D29
https://www.zotero.org/groups/4861694/Y6DEP5FX,http://syriaca.org/cbss/TNC5HQW8
http://syriaca.org/bibl/FA4NMMQF,http://syriaca.org/cbss/VWAW2XYF
https://zotero.org/groups/392292/items/FA4NMMQF,http://syriaca.org/cbss/VWAW2XYF
http://syriaca.org/bibl/636,http://syriaca.org/cbss/HR6Q8B9F
https://www.zotero.org/groups/4861694/GTAD3U9Q,http://syriaca.org/cbss/93HYUBFW
https://www.zotero.org/groups/4861694/3C48N6FK,http://syriaca.org/cbss/LPSVSFQZ
https://www.zotero.org/groups/4861694/E4NZ39GX,http://syriaca.org/cbss/BVFVR73S
https://www.zotero.org/groups/4861694/VKNFNKBQ,http://syriaca.org/cbss/369HYDDH
http://syriaca.org/bibl/R9I7HVM4,http://syriaca.org/cbss/35F77WHT
https://zotero.org/groups/392292/items/R9I7HVM4,http://syriaca.org/cbss/35F77WHT
http://syriaca.org/bibl/1338,http://syriaca.org/cbss/B8C2Y5KP
https://zotero.org/groups/392292/items/CRJGTUTX,http://syriaca.org/cbss/B8C2Y5KP
http://syriaca.org/bibl/3Z6CSQF6,http://syriaca.org/cbss/IYF3VZYB
https://zotero.org/groups/392292/items/3Z6CSQF6,http://syriaca.org/cbss/IYF3VZYB
https://www.zotero.org/groups/4861694/I998MSR3,http://syriaca.org/cbss/478N6SW8
https://www.zotero.org/groups/4861694/2MSEXVFJ,http://syriaca.org/cbss/9FJQKDCR
https://www.zotero.org/groups/4861694/E8HKHJI4,http://syriaca.org/cbss/RRBZ66C6
http://syriaca.org/bibl/2384,http://syriaca.org/cbss/5CPFCU8W
https://zotero.org/groups/392292/items/UXUDR93V,http://syriaca.org/cbss/5CPFCU8W
http://syriaca.org/bibl/1065,http://syriaca.org/cbss/8DP2NMIB
http://syriaca.org/bibl/1057,http://syriaca.org/cbss/QVTA7HCX
http://syriaca.org/bibl/1138,http://syriaca.org/cbss/ZHVML357
http://syriaca.org/bibl/1030,http://syriaca.org/cbss/GL7B9826
https://www.zotero.org/groups/4861694/2NXS9BPT,http://syriaca.org/cbss/NB8QG5DB
http://syriaca.org/bibl/1412,http://syriaca.org/cbss/EFZUNKA2
https://zotero.org/groups/392292/items/VTEQR5GV,http://syriaca.org/cbss/EFZUNKA2
https://www.zotero.org/groups/4861694/7NEKBHN9,http://syriaca.org/cbss/U4H7Q7X8
https://www.zotero.org/groups/4861694/BP9MW52B,http://syriaca.org/cbss/G4XI4JFB
https://www.zotero.org/groups/4861694/X9NBYPIQ,http://syriaca.org/cbss/YG85YYY5
http://syriaca.org/bibl/207,http://syriaca.org/cbss/IDDTQYTF
http://syriaca.org/bibl/328,http://syriaca.org/cbss/WET8RZBV
http://syriaca.org/bibl/364,http://syriaca.org/cbss/ZGM7HK4T
http://syriaca.org/bibl/365,http://syriaca.org/cbss/E9J6HCHX
http://syriaca.org/bibl/484,http://syriaca.org/cbss/WB6KSF6Y
http://syriaca.org/bibl/1807,http://syriaca.org/cbss/TFHKES2Q
https://zotero.org/groups/392292/items/SWAR7BHN,http://syriaca.org/cbss/TFHKES2Q
http://syriaca.org/bibl/587,http://syriaca.org/cbss/WS8DABWS
http://syriaca.org/bibl/592,http://syriaca.org/cbss/XBNILLCM
http://syriaca.org/bibl/621,http://syriaca.org/cbss/SAMH57WS
https://zotero.org/groups/392292/items/P77GHBXK,http://syriaca.org/cbss/6RARENNM
https://www.zotero.org/groups/4861694/ZCJ8C7L8,http://syriaca.org/cbss/L4ILF9XX
http://syriaca.org/bibl/1418,http://syriaca.org/cbss/G7YNFIFS
