recordUri	msBiblId	shelfmark	sourceBiblId	sourceBiblUri	sourceBiblString	correspEditionsBiblId
http://syriaca.org/work/1000	bib1000-4	mss Londres, British Library, Add. 14506, f. 156-159v	bib1000-1	http://syriaca.org/bibl/649	Bibliotheca Hagiographica Syriaca, entry 811	
http://syriaca.org/work/1001	bib1001-4	mss Londres, British Library, Add. 14506, f. 159v-160v	bib1001-1	http://syriaca.org/bibl/649	Bibliotheca Hagiographica Syriaca, entry 812	
http://syriaca.org/work/1002	bib1002-4	mss Londres, British Library, Add. 14506, f. 160v-163	bib1002-1	http://syriaca.org/bibl/649	Bibliotheca Hagiographica Syriaca, entry 813	
http://syriaca.org/work/1003	bib1003-3	ms Londres, British Library, Add. 14506, f. 23v + mss de Mossoul ?	bib1003-1	http://syriaca.org/bibl/649	Bibliotheca Hagiographica Syriaca, entry 815	
http://syriaca.org/work/1004	bib1004-3	ms Londres, British Library, Add. 14506, f. 19v-20 + mss de Mossoul ?	bib1004-1	http://syriaca.org/bibl/649	Bibliotheca Hagiographica Syriaca, entry 816	
http://syriaca.org/work/1005	bib1005-3	ms Londres, British Library, Add. 14506, f. 20r-v + mss de Mossoul ?	bib1005-1	http://syriaca.org/bibl/649	Bibliotheca Hagiographica Syriaca, entry 817	
http://syriaca.org/work/1006	bib1006-3	ms Londres, British Library, Add. 14506, f. 20v-21 + mss de Mossoul ?	bib1006-1	http://syriaca.org/bibl/649	Bibliotheca Hagiographica Syriaca, entry 818	
http://syriaca.org/work/1007	bib1007-3	ms Londres, British Library, Add. 14506, f. 21v-22 + mss de Mossoul ?	bib1007-1	http://syriaca.org/bibl/649	Bibliotheca Hagiographica Syriaca, entry 819	
http://syriaca.org/work/1008	bib1008-3	ms Londres, British Library, Add. 14506, f. 22v-23v + mss de Mossoul ?	bib1008-1	http://syriaca.org/bibl/649	Bibliotheca Hagiographica Syriaca, entry 820	
http://syriaca.org/work/1009	bib1009-3	ms Londres, British Library, Add. 14506, f. 24r + mss de Mossoul ?	bib1009-1	http://syriaca.org/bibl/649	Bibliotheca Hagiographica Syriaca, entry 821	
http://syriaca.org/work/1010	bib1010-3	ms Londres, British Library, Add. 14506, f. 24r-v + mss de Mossoul ?	bib1010-1	http://syriaca.org/bibl/649	Bibliotheca Hagiographica Syriaca, entry 822	
http://syriaca.org/work/1011	bib1011-3	ms Londres, British Library, Add. 14506, f. 24v-25 + mss de Mossoul ?	bib1011-1	http://syriaca.org/bibl/649	Bibliotheca Hagiographica Syriaca, entry 823	
http://syriaca.org/work/1012	bib1012-3	ms Londres, British Library, Add. 14506, f. 26r-v + mss de Mossoul ?	bib1012-1	http://syriaca.org/bibl/649	Bibliotheca Hagiographica Syriaca, entry 824	
http://syriaca.org/work/1013	bib1013-3	ms Londres, British Library, Add. 14506, f. 26v-27 + mss de Mossoul ?	bib1013-1	http://syriaca.org/bibl/649	Bibliotheca Hagiographica Syriaca, entry 825	
http://syriaca.org/work/1014	bib1014-3	ms Londres, British Library, Add. 14506, f. 27r-v + mss de Mossoul ?	bib1014-1	http://syriaca.org/bibl/649	Bibliotheca Hagiographica Syriaca, entry 826	
http://syriaca.org/work/1015	bib1015-3	ms Londres, British Library, Add. 14506, f. 27v-28 + mss de Mossoul ?	bib1015-1	http://syriaca.org/bibl/649	Bibliotheca Hagiographica Syriaca, entry 827	
http://syriaca.org/work/1016	bib1016-3	ms Londres, British Library, Add. 14506, f. 28-29 + mss de Mossoul ?	bib1016-1	http://syriaca.org/bibl/649	Bibliotheca Hagiographica Syriaca, entry 828	
http://syriaca.org/work/1017	bib1017-3	ms Londres, British Library, Add. 14506, f. 30v-31 + mss de Mossoul ?	bib1017-1	http://syriaca.org/bibl/649	Bibliotheca Hagiographica Syriaca, entry 829	
http://syriaca.org/work/1018	bib1018-4	ms Londres, British Library, Add. 14506, f. 87r-v	bib1018-1	http://syriaca.org/bibl/649	Bibliotheca Hagiographica Syriaca, entry 830	
http://syriaca.org/work/1019	bib1019-4	ms Londres, British Library, Add. 14506, f. 87v-89	bib1019-1	http://syriaca.org/bibl/649	Bibliotheca Hagiographica Syriaca, entry 831	
http://syriaca.org/work/1020	bib1020-4	ms Londres, British Library, Add. 14506, f. 89v-90	bib1020-1	http://syriaca.org/bibl/649	Bibliotheca Hagiographica Syriaca, entry 832	
http://syriaca.org/work/1021	bib1021-4	ms Londres, British Library, Add. 14506, f. 90r-v	bib1021-1	http://syriaca.org/bibl/649	Bibliotheca Hagiographica Syriaca, entry 833	
http://syriaca.org/work/1022	bib1022-4	ms Londres, British Library, Add. 14506, f. 90v-91	bib1022-1	http://syriaca.org/bibl/649	Bibliotheca Hagiographica Syriaca, entry 834	
http://syriaca.org/work/1023	bib1023-3	ms Londres, British Library, Add. 17141, f. 83v-84	bib1023-1	http://syriaca.org/bibl/649	Bibliotheca Hagiographica Syriaca, entry 835	
http://syriaca.org/work/1024	bib1024-3	ms Londres, British Library, Add. 17141, f. 84-85	bib1024-1	http://syriaca.org/bibl/649	Bibliotheca Hagiographica Syriaca, entry 836	
http://syriaca.org/work/1025	bib1025-3	ms Londres, British Library, Add. 17141, f. 85-86	bib1025-1	http://syriaca.org/bibl/649	Bibliotheca Hagiographica Syriaca, entry 837	
http://syriaca.org/work/1028	bib1028-3	ms Mardin	bib1028-1	http://syriaca.org/bibl/649	Bibliotheca Hagiographica Syriaca, entry 843	
http://syriaca.org/work/1028	bib1028-4	ms Beyrouth, Université Saint-Joseph, Bibliothèque orientale, syr. 18	bib1028-1	http://syriaca.org/bibl/649	Bibliotheca Hagiographica Syriaca, entry 843	
http://syriaca.org/work/1029	bib1029-3	ms Londres, British Library, Add. 14733, f. 52v-62	bib1029-1	http://syriaca.org/bibl/649	Bibliotheca Hagiographica Syriaca, entry 844	
http://syriaca.org/work/1029	bib1029-4	ms Vatican, Borg. Syr. 39, f. 213-219 (mutilé du début)	bib1029-1	http://syriaca.org/bibl/649	Bibliotheca Hagiographica Syriaca, entry 844	
http://syriaca.org/work/1030	bib1030-3	ms Mardin	bib1030-1	http://syriaca.org/bibl/649	Bibliotheca Hagiographica Syriaca, entry 845	
http://syriaca.org/work/1031	bib1031-3	ms Mossoul ?	bib1031-1	http://syriaca.org/bibl/649	Bibliotheca Hagiographica Syriaca, entry 846	
http://syriaca.org/work/1031	bib1031-4	ms Londres, British Library, Add. 14624, f. 45v-52v	bib1031-1	http://syriaca.org/bibl/649	Bibliotheca Hagiographica Syriaca, entry 846	
http://syriaca.org/work/1031	bib1031-5	ms Londres, British Library, Add. 14728, f. 34-41v	bib1031-1	http://syriaca.org/bibl/649	Bibliotheca Hagiographica Syriaca, entry 846	
http://syriaca.org/work/1031	bib1031-6	ms Londres, British Library, Add. 14730, f. 155v-164v (mutilé)	bib1031-1	http://syriaca.org/bibl/649	Bibliotheca Hagiographica Syriaca, entry 846	
http://syriaca.org/work/1031	bib1031-7	ms Londres, British Library, Add. 14732, f. 154-157v	bib1031-1	http://syriaca.org/bibl/649	Bibliotheca Hagiographica Syriaca, entry 846	
http://syriaca.org/work/1031	bib1031-8	ms Londres, British Library, Or. 2732, f. 68-82	bib1031-1	http://syriaca.org/bibl/649	Bibliotheca Hagiographica Syriaca, entry 846	
http://syriaca.org/work/1031	bib1031-9	ms Berlin, Königliche Bibliothek, syr. 74 (Sachau 9), f. 92v-100v + syr. 177 (Sachau 60), f. 25-35	bib1031-1	http://syriaca.org/bibl/649	Bibliotheca Hagiographica Syriaca, entry 846	
http://syriaca.org/work/1032	bib1032-4	Vatican, Syr. 161, f. 190-216v + Borg. Syr. 161, p. 1-130	bib1032-1	http://syriaca.org/bibl/649	Bibliotheca Hagiographica Syriaca, entry 847	
http://syriaca.org/work/1033	bib1033-3	ms Cambridge (Massachusetts), Harvard University Library, Syr. 93, f. 47-51v	bib1033-1	http://syriaca.org/bibl/649	Bibliotheca Hagiographica Syriaca, entry 849	
http://syriaca.org/work/1034	bib1034-3	ms Cambridge (Massachusetts), Harvard University Library, Syr. 93, f. 51b-53a	bib1034-1	http://syriaca.org/bibl/649	Bibliotheca Hagiographica Syriaca, entry 850	
http://syriaca.org/work/1035	bib1035-3	ms Cambridge (Massachusetts), Harvard University Library, Syr. 93, f. 53b-54a	bib1035-1	http://syriaca.org/bibl/649	Bibliotheca Hagiographica Syriaca, entry 851	
http://syriaca.org/work/1036	bib1036-3	ms Cambridge (Massachusetts), Harvard University Library, Syr. 93, f. 54a-58a	bib1036-1	http://syriaca.org/bibl/649	Bibliotheca Hagiographica Syriaca, entry 852	
http://syriaca.org/work/1037	bib1037-6	ms Damas, Patriarcat syrien orthodoxe, cod. 12/15 (olim ms Dayr az-Za‘faran, cod. parch. 13 (Dolabany)) + ms Hah, Monastère Saints-Serge-et-Bacchus, cod. 1, cah. 23, f. 2 - cah. 24, f. 6v + ms Chicago, University Library, Oriental Institute, A 12.008, f. 23v-29r + ms Mardin, Évêché syrien orthodoxe, cod. 134 (olim ms Dayr az-Za‘faran, cod. pap. 61 (Dolabany)), cah. 35, f. 7 - cah. 36, f. 1 + cod. 176 (olim ms Dayr az-Za‘faran, cod. pap. 122 (Dolabany)), f. 1-28 + cod. 141 (olim ms Dayr az-Za‘faran, cod. pap. 73 (Dolabany)), f. 45-73v	bib1037-1	http://syriaca.org/bibl/649	Bibliotheca Hagiographica Syriaca, entry 854	
http://syriaca.org/work/1037	bib1037-7	ms Diyarbakir, Église Mar Ya‘qub, cod. 1/3	bib1037-1	http://syriaca.org/bibl/649	Bibliotheca Hagiographica Syriaca, entry 854	
http://syriaca.org/work/1038	bib1038-4	ms Chicago, University Library, Oriental Institute, A 12.008	bib1038-1	http://syriaca.org/bibl/649	Bibliotheca Hagiographica Syriaca, entry 855	
http://syriaca.org/work/1039	bib1039-4	ms Damas, Patriarcat syrien orthodoxe, 12/17 (olim ms Dayr az-Za‘faran, cod. parch. 18 (Dolabany)), f. 216-219v	bib1039-1	http://syriaca.org/bibl/649	Bibliotheca Hagiographica Syriaca, entry 856	
http://syriaca.org/work/1039	bib1039-5	ms Mardin, Évêché syrien orthodoxe, 269, f. 61-77	bib1039-1	http://syriaca.org/bibl/649	Bibliotheca Hagiographica Syriaca, entry 856	
http://syriaca.org/work/1039	bib1039-6	ms Cambridge (Mass.), Harvard University Library, Syr. 34 (fgt)	bib1039-1	http://syriaca.org/bibl/649	Bibliotheca Hagiographica Syriaca, entry 856	
