docId,msLevelUri,msItemId,distinctPath,parentName,textOfBiblNode,biblPtrUri,biblNodeAsString,msItemContents
file:///home/arren/Documents/GitHub/britishLibrary-data/data/tei/347.xml,http://syriaca.org/manuscript/347,a5,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[5]/note/bibl,note,"Cureton in his Ancient Syriac Documents, p. ܠܗ",,"<bibl >Cureton in his Ancient Syriac Documents, p.<foreign xml:lang='syr'>ܠܗ</foreign></bibl>",The Doctrine of S. Peter at Rome
file:///home/arren/Documents/GitHub/britishLibrary-data/data/tei/347.xml,http://syriaca.org/manuscript/347,a6,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[6]/note/bibl,note,"Opera, ed. 1698, t. i., pars 2, p. 793",,"<bibl >Opera, ed. 1698, t. i., pars 2, p. 793</bibl>",Athanasius. The life of Antony by Athanasius
file:///home/arren/Documents/GitHub/britishLibrary-data/data/tei/347.xml,http://syriaca.org/manuscript/347,b1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[7]/msItem[1]/note/bibl,note,"Add. 12,173, no. 1, b, fol. 58 b",,"<bibl >Add. 12,173, no. 1, b, fol. 58 b</bibl>",Palladius. Preface
file:///home/arren/Documents/GitHub/britishLibrary-data/data/tei/347.xml,http://syriaca.org/manuscript/347,a8,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[8]/note/bibl[1],note,"Add. 14,582, fol. 190 b",,"<bibl >Add. 14,582, fol. 190 b</bibl>",The history of Serapion
file:///home/arren/Documents/GitHub/britishLibrary-data/data/tei/347.xml,http://syriaca.org/manuscript/347,a8,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[8]/note/bibl[2],note,"Add. 14,597, fol. 156 a",,"<bibl >Add. 14,597, fol. 156 a</bibl>",The history of Serapion
file:///home/arren/Documents/GitHub/britishLibrary-data/data/tei/347.xml,http://syriaca.org/manuscript/347,a9,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[9]/note/bibl,note,"Wright's ""Contributions to the Apocryphal Literature of the New Testament,"" pp. ܝܛ and 12",,"<bibl >Wright's ""Contributions to the Apocryphal Literature of the New Testament,"" pp.<foreign xml:lang='syr'>ܝܛ</foreign>and 12</bibl>","Herod, Pilate. The letters of Herod and Pilate"
file:///home/arren/Documents/GitHub/britishLibrary-data/data/tei/347.xml,http://syriaca.org/manuscript/347,a12,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[12]/note/bibl,note,"Add. 12,150, fol. 1",,"<bibl >Add. 12,150, fol. 1</bibl>","Clement of Rome. The Recognitiones of Clement of Rome , the disciple of S. Peter"
file:///home/arren/Documents/GitHub/britishLibrary-data/data/tei/429.xml,http://syriaca.org/manuscript/429,a1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/note[1]/bibl,note,"Galeni Opera, ed. Kuhn, t. xi., pp. 789—892, t. xii., pp. 1—158",,"<bibl >Galeni Opera, ed. Kuhn, t. xi., pp. 789—892, t. xii., pp. 1—158</bibl>","Galen. The sixth, seventh and eighth books of the treatise of Galen , entitled de Simplicium Medicamentorum Temperamentis ac Facultatibus translated by Sergius of Ras-'ain"
file:///home/arren/Documents/GitHub/britishLibrary-data/data/tei/429.xml,http://syriaca.org/manuscript/429,a1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/note[2]/bibl[1],note,"Add. 14,658, no. 1",,"<bibl >Add. 14,658, no. 1</bibl>","Galen. The sixth, seventh and eighth books of the treatise of Galen , entitled de Simplicium Medicamentorum Temperamentis ac Facultatibus translated by Sergius of Ras-'ain"
file:///home/arren/Documents/GitHub/britishLibrary-data/data/tei/429.xml,http://syriaca.org/manuscript/429,a1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/note[2]/bibl[2],note,"Sachau in the Hermes for 1869, Bd. iv., p. 73",,"<bibl >Sachau in the Hermes for 1869, Bd. iv., p. 73</bibl>","Galen. The sixth, seventh and eighth books of the treatise of Galen , entitled de Simplicium Medicamentorum Temperamentis ac Facultatibus translated by Sergius of Ras-'ain"
