ms_record_file_location,ms_level_uri,addition_xml-id,fixed_ms_record_filename,fixed_ms_level_uri,fixed_addition_xml-id,localKey,locus_start,addition_text_node,matchingKey,isMatch,is_colophon,is_doxology,include,status,asignee,syriaca_notes
/data/tei/1.xml,http://syriaca.org/manuscript/1,p1addition1,,,,http://syriaca.org/manuscript/1#p1addition1,107b,"The doxology, ܫܘܒܚܐ ܠܬܠܝܬܝܘܬܐ̇ ܣܓܝܕܬ ܡܢ ܟܠ̣ ܐܡܝܼܢ ܘܐܡܝܢ܆ , and in a more cursive character the words ܨܠܘ ܥܠ ܡ̇ܢ ܕܟܬ̣ܒ ܕܢܬܚܢܢ ܒܝܘܡ ܕܝܢ̣ܐ.",http://syriaca.org/manuscript/1#p1addition1,TRUE,,x,x,done,,
/data/tei/1.xml,http://syriaca.org/manuscript/1,p1addition2,,,,http://syriaca.org/manuscript/1#p1addition2,108a,"A note on fol. 108a , states that the manuscript was written for the monks of the convent of Nātphā , near Māridīn , at the expense of the priest Julian ܢܘܢܝܐ , and of the deacons George and Dādā , visitors ( ܣܳܥܽܘܪܳܐ , περιοδευτής ) of the said convent. See Assemani, Bibl. Or., t. ii., Dissert. de Monophysitis, art. ix., Monasterium Nataphae. ܐܬܚܦܛܘ ܘܥܒ̣ܕܘ ܟܬܒܐ ܗܢܐ ܡܢ ܥܡܠܗܘܢ ܘܡܢ ܛܝܒܘܬܐ ܕܐܠܗܐ ܕܐܬܬ ܒܐ̈ܝܕܝܗܘܢ. ܠܟܢܘܫܝܐ ܩܕܝܫܐ ܕܝܚܝ̈ܕܝܐ ܕܢܛܦܐ ܕܒܛܘܪܐ ܡܪܕܐ. ܩܫܝܫܐ ܝܘܠܝܢܐ ܢܘܢܝܐ. ܘܓܐܘܪܓܝ ܘܕܕܐ ܡܫܡ̈ܫܢܐ ܘܣܥܘܪ̈ܐ ܕܝܠܗ ܕܟܢܘܫܝܐ. ܕܟܠ ܩ̇ܪܐ ܒܗ ܢܨܠܐ ܥܠܝܗܘܢ ܘܥܠ ܟܠ ܕܐܝܬ ܠܗ ܒܗ ܫܘܬܦܘܬܐ ܐܢ ܒܩܠܝܠ ܘܐܢ ܒܣܓܝ. ܕܐܠܗܐ ܗ̇ܘ ܕܡܛܠ ܫܡܗ ܐܬܚܦܛܘ ܘܣܡܘ ܣܝܡܬܐ ܗܕܐ̣. ܗ̣ܘ ܢܫܘܐ ܐܢܘܢ ܠܡܢܬܐ ܘܠܝܪܬܘܬܐ ܕܡܛܬ ܠܩܕܝ̈ܫܐ ܒܢܘܗܪܐ. ܒܨ̈ܠܘܬܐ ܕܟܠܗܘܢ ܕܥܒ̣ܕܘ ܘܥܒܕܝܢ ܨܒܝܢܗ ܕܐܠܗܐ ܠܥܠܡܝܢ.",http://syriaca.org/manuscript/1#p1addition2,TRUE,x,,x,done,,
/data/tei/1.xml,http://syriaca.org/manuscript/1,p1addition3,,,,http://syriaca.org/manuscript/1#p1addition3,108a,"What originally followed has been erased, and in its place we read, in the handwriting of Moses of Nisibis , abbat of the convent of S. Mary Deipara in the desert of Scete (A. Gr. 1243, A.D. 932) , that this book was procured by him for the library of the said convent. See the notes in his handwriting in many other volumes of this collection, and also Assemani, Bibl. Or. t. i. p. 83, t. ii. p. 118; Cureton, the Festal Letters of Athanasius, preface, p. xxiv., note. ܐܝܬܘܗܝ ܟܬܒܐ ܗܢܐ ܕܕܝܪܐ ܕܝܕܬ ܐܠܗܐ ܕܣܘܪ̈ܝܝܐ ܕܒܡܕܒܪܐ ܕܐܣ̈ܩܝܛܐ ܕܩܢܝܗܝ ܠܗ̇ ܡܘܫܐ ܢܨܝܒܝܢܝܐ ܪܝܫܕܝܪܐ . ܘܐܚܪܡܬ ܒܡܠܬܐ ܕܐܠܗܐ ܥܠ ܟܠ ܕܠܚܐ ܠܥܘܗܕܢܐ ܗܢܐ ܐܘ ܡܘܒܕ ܘܡܫܓܢܐ ܠܟܬܒܐ ܗܢܐ ܡܢܗ̇ ܕܕܝܪܐ ܒܚܕ ܡܢ ܙܢܝ̈ܢ. ܘܡ̇ܢ ܕܣܥܐ ܥܠ ܗܠܝܢ܆ ܚܪܡܗ ܕܐܠܗܐ ܘܪܘܓܙܗ ܘܠܘܛܬܗ ܢܗܘܘܢ ܥܠܘܗܝ. ܘܟܠ ܕܢܛܪ ܡܠܬܐ ܕܐܠܗܐ ܘܠܐ ܣܥܐ ܐܠܗܐ ܢܚܣܐ ܠܗ ܘܠܥܢܝ̈ܕܘܗܝ ܘܠܝ ܡܘܫܐ ܚܛܝܐ ܒ̈ܨܠܘܬܐ ܕܝܠܕܬ ܐܠܗܐ ܘܩܕ̈ܝܫܐ ܐܡܝܢ♱",http://syriaca.org/manuscript/1#p1addition3,TRUE,,,,done,,
/data/tei/1.xml,http://syriaca.org/manuscript/1,p1addition4,,,,http://syriaca.org/manuscript/1#p1addition4,2a,"Moses of Nisibis may perhaps have purchased it from the Deacon Sergius bar Abraham, of Rīsh’ainā or Rās’ain , who has written on fol. 2 a: ܐܝܬܘ ܟܬܒܐ ܗܢܐ ܕܣܪܓܝܣ ܒܪ ܐܒܪܗܡ ܥܠܠܢܐ (?)ܡܫܡܫܢܐ ܒܪܝܫܥܝܢܐ. ܟܘܠ ܕܩܪܐ ܒܗ ܐܘ ܢܟܬܘܒ(sic) ܡܢܗ ܘܠܐ ܢܗܦܟܝ (sic) ܥܠ ܡܠܬܗ ܕܐܠܗܐ ܥܒܪ ܘܚܪܡܗ ܕܡܪܝܐ ܥܠܘܗܝ ܘܥܠ ܒܝܬܘܗܝ (sic) ܘܥܠ ܥܘܬܪܗ ܘܥܠ ܘܥܘܡܪܗ ܠܥܠܡ ܥܠܡܝܢ ܐܡܝܢ.",http://syriaca.org/manuscript/1#p1addition4,TRUE,,,,done,,
/data/tei/1.xml,http://syriaca.org/manuscript/1,p1addition5,,,,http://syriaca.org/manuscript/1#p1addition5,2a,"Notation of the names of two readers of the book, John and Yeshūa’ ܝܘܚܢܢ ܚ̇ܛܝܐ ܘܝܫܘܥ ܬܠܡܝܕܗ ܕܡܫܝܚܐ.",http://syriaca.org/manuscript/1#p1addition5,TRUE,,,,done,,
/data/tei/1.xml,http://syriaca.org/manuscript/1,p2addition1,,,,http://syriaca.org/manuscript/1#p2addition1,169b,"On fol. 169b we have the following colophon: ܫܠܡ ܝܫܘܥ ܒܪܗ ܕܢܘܢ ܐܝܟ ܗ̇ܢܘܢ ܫܥܒܝܢ .ܘ. ܗܠܝܼܢ ܒܬܪ ܫܘܠܡܐ ܐܝܟ ܗ̇ܢܘܢ ܫܒܥܝܢ ܣܝ̈ܡܢ ܗ̈ܘܝ ܒܨܚܚܐ ܥܡ ܓܐܪ̈ܘܢܐ܀ ܒܗܿܘ ܝܘܡܐ̣. ܟܕ ܢܣ̣ܒܘ ܠܩܒܘܬܗ ܕܐܠܗܐ. ܡܟܪܟܝܢ ܗܘܘ ܠܗ̇ ܒܐܝܣܪܝܠ. ܘ܏ܫ. ܨܚܚܐ ܕܝܢ ܕܡܢܗ ܗܢܐ ܐܬܦܫܩ ܠܣܘܪܝܝܐ ܘܐܬܟܬܒ̣. ܪܫ̣ܝܡ ܗܘܐ ܥܠܘܗܝ ܗܟܢܐ. ܐܬ̣ܟܬܒ ܡܢ ܫ̈ܬܝܬܝ ܦܨ̈ܐ ܡܢ ܗ̇ܘ ܕܐܦ ܐܬܬܣܝܡ. ܐܬ݁ܦܚܡ ܕܝܢ ܐܦ ܠܘܬ ܪ̈ܒܝܥܝ ܦܨ̈ܐ܀ Joshua the son of Nun is ended. After the end, these (words), according to the LXX., are placed in the exemplar with obelisks: 'Εν ἐκείνῃ τῇ ἡμέρα λαβόντες οἱ νίοὶ 'Ισραὴλ τὴν κιβωτὸν τοῦ Θεοῦ, περιεφέροσαν ἐν ἐαυτοῖς κ.τ.λ. On the exemplar from which this was translated into Syriac and written, was inscribed: Transcribed from the Hexapla , from which too it was furnished (with the various readings), and collated also with the Tetrapla .",http://syriaca.org/manuscript/1#p2addition1,TRUE,x,,x,done,,
/data/tei/10.xml,http://syriaca.org/manuscript/10,addition1,,,,http://syriaca.org/manuscript/10#addition1,1b,"On fol. 1 b the Greek vowels have likewise been appended, viz. ܳ, ܰ, ܶ, ܺ, , .and ,. The diphthong au is indicated by a ܵܘ, ܳܘ Examples: ܬܗܽܘܿܡܵܳܐ, ܫܡܲܰܝܵܳܐ, ܒܪܴܵܫܝ̣ܺܬ݂, ܪ̈ܵܘܳܪܒ݂ܐܶ, ܘܪܾܘܼܚܸܶܗ,",http://syriaca.org/manuscript/10#addition1,TRUE,,,,checked,Justin,voweling
/data/tei/10.xml,http://syriaca.org/manuscript/10,addition2,,,,http://syriaca.org/manuscript/10#addition2,1b,"At the foot of the page there is an explanatory note the last line of which is much injured. So far as legible, it runs thus: ܚ̣ܙܝ ܐܚܘܢ ܩܪܘܝܐ ܟܠܗܝܢ ܢܘ̈ܩܙܐ ܙܥܘܪ̈ܐ ܕܐܝܬ ܒܟܬܒܐ ܗܢܐ ܡܢ ܗܕܐ ܛܪܦܐ ܢܪܫܝܡ (sic) ܠܝ ܒܣܘܡܩܐ ܥܠܝܗܝܢ ܝ̇ܕܥ̣ܬ ܠܗܝܢ ܝܘܢܐܝܬ܀ ܗܟܢܐ ܩ̣ܪܝ ܘܨܠܐ ܥܠܝ܀ ܐܵܕܳܡ ܐܲܰܒܪܗܡ ܐܝܣܚܩ ܐܫܥܝܐ ܐ . . . ܐ. . . ܕܗ̈",http://syriaca.org/manuscript/10#addition2,TRUE,,,,checked,Justin,neither colophon nor doxology
/data/tei/10.xml,http://syriaca.org/manuscript/10,addition3,,,,http://syriaca.org/manuscript/10#addition3,1b,"The marginal annotations chiefly refer to matters of pronunciation and accentuation. For example: fol. 2 b, ܐܲܝܟ݁ܐ̄ ܐ̄ܢ̣ܬ ܐܕܡ .. marg. ܓܢܘܒ ܐܠܦ Fol. 2 b ܕܦܲܩܸܕܬ݁ܵܟ marg. ܘܓܢܘܒ ܕܠܕ Fol. 4 b, ܐܵܙܠܝ̣ܢ ܘܗܵܦܟ̇ܝ̣ܢ marg. ܓܢܘ. ܠ Fol. 110 a, ܘܲܚܢܲܢ̄ ܚ݊ܢܲܢ ܐܲܟ݂ܚܕ݂ܵܐ ܒܒ̤݁ܝܬ݁ܵܐ marg. ܠܐ ܬܓܢܘܒ ܚܝܬ Fol. 4 a, ܡܹܕܝܵܪܹ̈ܐܥܒ̣̱ܕܹܝܗ̇ ܠܩܹܒܘܿܬܵܐ marg. ܗܓܝ. Fol. 4 a, ܡ̣ܢ ܟܠ ܡܹܐܟܠܵܐ ܕܡܹܬ݂ܐ̱ܟ݂ܹܠ marg. ܗܓܝ Fol. 11 b, ܡܸ݊ܬ݂ܩܛܵܠܘܼ ܢ̣ܬܩ݊ܛܸܠ marg. ܠܐ ܬܗ (ܬܗܓܐ) Fol. 8 a, ܘܐܲܟ݂݊ܒ̣̈ܪܬܸ݁ܗ ܛ̇ܒ ܛܵܒ marg. ܐܝܟ.ܓ Fol. 8 b, ܘܲܩܪܸܒܘ ܠܡ̣ܬ̣݊ܒ̣̈ܪ ܬܲܪܥܵܐ marg. ܐܝܟ ܕ Fol. 7 a, ܘܐܹܬ݂ܚܲܫܒܸ݁ܬ݂ ܠܗ ܠܙܲܕܝܩܘܼ marg. ܐܝܟ.ܓ Fol. 20 b, ܘܚܲܫܒ̣̈ܢ ܐܝܟ ܓܵܫ̈ܘܿܫܹܐ ܕܐܲܪܥܵܐ marg. ܐܝܟ. ܓ Fol. 4 a, ܐܹܬ݁ܬ̣ܪܵܥܘ marg. ܚܕܐ ܬ Fol. 18 b, ܗܐ ܡܵܪܝ ܠܐ ܝ̇ܕܥ ـ ܥܲܡܝ ـ ܡ̇ܢܐ ܐ̄ܝ̇ܬ ܒܒܸܝܬܹ݁ܗ marg. ܚܕܐ ܥ ܘܚܕܐ ܡ Fol. 7 a, ܒܲܪ ܒܲܝܬ݁ܝ ܗ̇ܘܸ ܝܵܪܹܬ ܠܝ̣ marg. ܐܣܩ ܗ Fol. 15 a, ܘܥܵܢ̈ܐ ܥܵܢ̈ܝ marg. ܠܐ ܬܣܩ Fol. 11 a, ܘܐܡ̣ܪ ܥܲܒ݂ܕܐ ܗܘܝ̣ܘ ـ ܡܪܝ marg. ܐܩܦ Fol. 21 a, ܘܫܸܓ݁ܵܪܹ̈ܐ (sic, altered from ܘܫܵܓ݁ܵܪܸ̈ܐ) , marg. ܠܐ ܬܦܬܚ ܫ Fol. 22 a, ܘܲܗܘܼ̈ܘ ܒܢ̈ܝ ܦܲܪܝ̣ܨ. marg. ܠܐ ܬܩܫܐ. ܦ Fol. 11 b, ܘܲܗܘܼܐ ܕܟܕ ܢܓܸ݁ܪܘ ܠܗ̇ ܬܲܡܵܢ ܝܵܘ̈ܡܵܬܵܐ marg. ܪܬ (ܪܬܡܐ) Fol. 10 a, ܒܲܝܢܲܝ ܘܠܟ ܡܵ̄ܢܲܐ. ܗ̣ܝ marg. ܡܫܐܠܢܐ Fol. 26 a, ܡܪܝ ܠܡܢܵܐ ܐܲܒ̣ܐܫ̣ܬ ܠܥܡܐ ܗܢܐ marg. ܡܬܟܫܦܢܐ . Sometimes they are explanatory of difficult words. For example: fol. 1 b, ܐܘܿܪܵܝܬ݁ܵܐ is explained by ܢܘܗܪܐ ܐܬ݂ܐ Fol. 2 a, ܐܲܕ̣ܡ̱ܬ݂ܐ by ܚ̣ܠܐ ܣܘܼܡܵܩܐ Fol. 2 a, ܓܝ̣ܚܘܿܢ by ܗܘܝܘ ܢܝܠܘܣ . Fol. 104 a, ܘܟ݂ܘܿܬ݁ܝ̣ܢܵܐ̇̄ ܡܚܲܛܲܒ݂ܬ݁ܵܐ by ܡܚܛܒܬܐ ܡܦܬܟܬܐ . Various readings and references to the Hebrew and Greek texts occasionally occur. For example, Ps. cxxii. 2, fol. 140 b , ܘܐܲܝܟ ܥܲܝ̈ܢܐ ܕܐܲܡܬ݂ܵܐ ܠܘܿܬ݂ ܡܵܪܬܵܗ̣̇ ., the marg. has ܒܐܚܪܢܐ ܫܪܝܪ ܡܪܬܗ̇ . On Ecclesiasticus, xxxvii. 10, fol, 157 b , ܘܡܹܢܹܗ ܟܲܣܝ̣ ܪܵܐܙܵܟ is remarked ܒܟ̈ܬܒܐ ܐܚܪ̈ܢܐ ܠܐ ܬܦܬܚ ܟـ . Fol. 24 b, Exod. i. 19 , ܡܛܠ ܕܚܲܝ̈ܬ݂ܵܐ ܐܹ̈ܢܸܝܢ marg. Fol. 85 a, Judges vii. 11 , ܘܓ݂ܹܕܥܘܿܢ ܒܪܹܗ ܚ̇ܵܒܹܛ ܗܘ̣ܐ ܚܹܛܹ̈ܐ ܒܓ݂ܵܬ , marg. ܥܒܪܝܐ ܒܓܢܬܐ ܐܡ̇ܪ . Fol. 85 b, Judges, vi. 19 , ܘܲܡܨܲܠܠܵܐ ܐܲܪܡܝ̣ ܒܩܹܣܛܵܐ marg. ܥܒܪܝܐ ܐܡ̇ܪ ܘܙܘܡܐ ܐܪܡܝ ܒܩܪܐܐ . Fol. 84 a, Judges iii. 15 , ܓܲܒܪܐ ܕܲܦܫܝ̣ܓ݂ܵܐ ܗ̣ܘܸܬ݂ ܐܝ̣ܕܹܗ̄ ܕܝܲܡܝ̣ܢܵܐ marg. ܝܘܢܝܐ ܕܲܡܝܲܡܲܢ ܐܡ̇ܪ ( ἀμφοτεροδἑξιος ). Fol. 98 a, 1 Sam. xxii. 18 , ܬܡܢܝ̣ܢ ܘܚܲܡܫܐ ܓܲܒ݂ܪ̈ܝܢ marg. ܒܝܘܢܝܐ ܬܡܢܡܐ ܘܚܡܫܝܢ . Fol. 108 b, 1 Kings, i . ܘܬܹܗܘܐ ܠܗ̄ ܡܫܲܡܫܵܢܝ̣ܬ݂ܵܐ marg. ܝܘܢܝܐ ܡܫܚܢܢܝܬܐ ܐܡܪ . Fol. 137 b, Ps. exi. 1 , ܒܡܸܠܟ̇ܐ ܕܲܬ̣ܪ̈ܝ̣ܨܐ ܒܥܹܕ̣ܬܵܐ marg. ܝܘܢܝܐ ܘܥܕܬܐ ܐܡ̇ܪ . Fol. 188 b, Hosea, xi. 4 , ܒ̈ܚܸܒ̣ܠܹܐ ܕܒܢ̈ܝ ܐܢ̈ܫܐ marg. ܗܢܐ ܕܝܢ ܐܝܟ ܕܒܝܘܢܝܐ ܦܚܡ ܚܸܒ̈ܠܐ. ܐܠܐ ܐܝܟ ܕܒܣܘܪܝܝܐ ܚܲܒ̣̈ܠܐ ܐܝܬܘܗܝ . Peculiarities in the readings of the Syriac (Nestorian) schools are also referred to (foll. 120 a, 259 b, ܐܣܟܘܠܐ ܐܚܪܬܐ ); in particular those of Nisibis ( ܢܨܝܒܝܢ , foll. 18 a and 23 b, etc.), of Mār Mārī near Seleucia ( ܒܝܬ ܡܪܝ ܡܐܪܝ ܠܥܠ ܣܠܩ fol. 10 a), of Mā-hūzā ( ܡܵܚ̈ܘܿܙܢܵܝܹܐ foll.115 b, 116 b, etc.) of Aitīlāhā ( ܒܝܬ ܐܝܬܝܠܗܐ foll. 250 a, 256 b, 257 a, etc.), and of Kandūkē ( ܒܝܬ ܟܢܕ̈ܘܩܐ foll. 28 a, 69 a, 252 a, etc.). In one note, fol. 8 b, the agreement of the schools on a certain point is mentioned, ܠܦܘܬ ܐܚܝܢܘܬܐ ܕܡ̈ܠܦܢܐ ܕܐܣܟ̈ܘܠ .",http://syriaca.org/manuscript/10#addition3,TRUE,,,,done,,
/data/tei/10.xml,http://syriaca.org/manuscript/10,addition4,,,,http://syriaca.org/manuscript/10#addition4,310b,"On foll. 310 b and 311 a we find a series of notes, written by the same hand as the rest of the book. The first three inform us that this books was written by Babai the deacon , in the convent of Mār Gabriel (also called the convent of the Confessors) near Harrān , in the year of the Greeks 1210 A.D. 899 , when Mār John (i.e., John III. , according to Le Quien, Oriens Christ., t. ii. Col. 1133 . He died in the autumn of this same year. Compare Assemani, Bibl. Orient., t. ii., p. 440, no. 56 ) was Catholic Patriarch of the East, and Mār Jacob bishop of Harrān and Callinicus (%). The first note reads: ܗܢܐ ܕܩܪ̈ܝܬܐ ܕܨܘܪܬ ܟܬܒ܇ ܒܐܝܪܚ ܢܝܣܢ. ܕܫܢܬ ܐܠܦ ܘܡܐܬܝܢ ܘܥܣܪ ܒܕܝ̈ܘܢܝܐ. ܕܐܝܬܝܗ̇ ܕܐܠܟܣܢܕܪܘܣ ܒܪ ܦܝܠܝܦܘܣ ܡܠܟܐ ܕܡܝܩ̈ܕܘܢܝܐ. . ܒܪܝܫܢܘܬܗ ܕܦܠܥܐ ܟܫܝܪܐ. ܠܡܦܝܐܕܐ ܢܗܝܪܐ. ܡܕܒܪ ܠܥܢܐ ܦܪܘܩܝܬܐ ܢܝܚܐܝܬ ܘܒܣܝܡܐܝܬ. ܚܣܝܐ ܘܐܒܐ ܕܚܣܝܘܬܐ ܡܪܝ ܝ̇ܘ݊ܗܐܢ݊ܢܝܣ݊ ܩ݊ܬܘ݊ܠܝܩ݊ܐ ܦܛܪܝܪܟܝܣ ܕܡܕܢܚܐ. ܘܒܝ̈ܘܡܝ ܚܣܝܐ ܒܩ̈ܕܝܫܐ ܘܐܬܠܝܛܐ ܒܐܓܘܢܝ̈ܣܛܐ. ܥܝܪܐ ܘܚܦܝܛܐ ܘܟܫܝܪܐ. ܪܥ̇ܐ ܥܢܗ ܕܡܫܝܚܐ ܒܙܗܝܘܬܐ ܘܩܕܝܫܘܬܐ ܡܪܝ ܝ݊ܥܩ݊ܘܒ݊ ܐܦܝ݊ܣܩ݊ܘܦ݊ܐ ܕܚܪܢ ܘܕܩܠܢܝܩܣ.",http://syriaca.org/manuscript/10#addition4,TRUE,x,,x,done,,
