localKey,ms_record_file_location,ms_level_uri,unique_xpath,author_position_in_sequence,author_text_node,author_uri_current,author_uri_consolidated,msItem_xml-id,locus_start,title_text_node,rubric,incipit,explicit,finalRubric,status,asignee,syriaca_notes,wright_catalogue_location,wright_entry_roman_numeral,shelf_mark,parent_item,,,,,,,,,,,,,false positive
http://syriaca.org/manuscript/183|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[2]/msItem[5]/msItem[6]/author,/data/tei/183.xml,http://syriaca.org/manuscript/183,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[2]/msItem[5]/msItem[6]/author,1,A bishop,,,c64,154b,"Extracts from a letter of a bishop to a friend , concerning certain sins",ܡܢ ܐܓܪܬܐ ܕܟܬ̣ܒ ܐܦܝܣ܏ܩܘ ܠܘܬ ܡܚܒܢܗ. ܡܛܠ ܣ̈ܟܠܘܬܐ ܡܕܡ ܡܕܡ,,,,no Syriaca entry,Alexys Ahn,unspecified author,1:219-223,CCLXXXVI,Add MS 14493,"""A Collection of Ecclesiastical Canons"". Foll. 148a-162",,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/647|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[4]/msContents/msItem[5]/author,/data/tei/647.xml,http://syriaca.org/manuscript/647,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[4]/msContents/msItem[5]/author,1,Abba Bishoi,,http://syriaca.org/person/3513,p4a5,98a,The history of Maximus and Domitius,ܬܫܥܝܬܐ ܕܩܕ̈ܝܫܐ ܐܚ̈ܐ ܪ̈ܘܡܝܐ ܡܟܣܝܡܘܣ ܘܕܘܡܐܛܝܘܣ ܕܐܬܓܡ̣ܪܘ ܒܡܕܒܪܐ ܕܐܣܩܝܛܐ ܒܝܘ̈ܡܝ ܐܒܐ ܡܩܪܝܣ ܪܒܐ ܘܐܒܐ ܐܝܣܝܘܕܪܐ ܓܒܪܐ ܚܣܝܐ ܘܪܚ̇ܡ ܐܠܗܐ. ܡ̇ܟܬܒܐ ܕܝܢ ܠܛܘܒܢܐ ܐܒܐ ܒܝܫܘܝ ܪܝܫ ܡܫܡ̈ܫܢܐ ܕܥܕܬܐ ܕܩܘܢܣܛܝܢܘܦܘܠܝܣ܆ ܘܗ̣ܘ ܗܘ̣ܐ ܪܝܫ ܡܫ̈ܡܫܢܐ ܒܡܕܒܪܐ ܕܐܣܩܝܛܝ,,,,ready to ingest,Alexys Ahn,,3:1120-1122,DCCCCLVIII,"Add MS 14735, foll. 72-173",,,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/639|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msContents/msItem[2]/msItem[6]/author,/data/tei/639.xml,http://syriaca.org/manuscript/639,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msContents/msItem[2]/msItem[6]/author,1,Abbā Bīshoī,,http://syriaca.org/person/3513,p1b6,74b,". The history of Maximus and Domitius , written by Abbā Bīshoī",ܬܫܥܝ̣ܬܐ ܕܥܠ ܕܘܒ̣ܪ̈ܐ ܕܐܚ̈ܐ ܪ̈ܘܡ̣ܝܐ ܘܩܕ̈ܝܫܐ܇ ܡ̇ܰܐܟܣܻܝܡܳܘܣ̣ ܘܕܳܘܡܷܛܻܝܘܳܣ܇ ܕܐܬܬ݀ܠ̣ܡܕܘ ܗܘܘ: ܒܡ̇ܕܒܪܐ ܕܐܣ̣ܩܝܛܝ܇ ܒܝܘ̈ܡܝ ܐܒ̇ܐ ܡ̇ܩܪܝܣ ܪܒܐ ܘܡ̣ܨܪܝܐ: ܘܐܒ̇ܐ ܐܻܣܻܝܘܳܕܳܘܪܳܘܣ ܓܒܪܐ ܕܐܠܗܐ܀ ܡ̇ܟ̣ܬܒܐ ܕܝܢ܆ ܠܛܘܒ̣ܢܐ ܐܒ̇ܐ ܒܻܝܫܳܘܝ ܪܝܫ ܡܫ̈ܡܫܢܐ ܕܩܘܣܛܐܢܛܝܢܦܘܠܝܣ ܘܗ̣ܘ ܗܘ̣ܐ ܪܝܫ ܡܫܡܫ̈ܢܐ ܩܕܡܝܐ̣. ܒܡ̇ܕܒܪܐ ܕܐܣ̣ܩܝܛܝ,,,ܫܠ̣ܡܬ݀ ܬܫܥܝ̣ܬܐ ܕܐܒܗ̈ܬܐ ܩܕ̈ܝܫܐ ܘܛܒ̣ܝ̈ܒܐ̣. ܡ̇ܟ̣ܣܝܡܘܣ ܘܕܘܡ̣ܛܝܘܣ ܒ̈ܢܝ ܡ̈ܠ̣ܟܐ,ready to ingest,Alexys Ahn,,3:1141-1146,DCCCCLXIII,"Add MS 14732, foll. 1-227","""Histories of holy Men and Women and of Martyrs"". Foll. 2b-",,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/409|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[2]/msItem[10]/author,/data/tei/409.xml,http://syriaca.org/manuscript/409,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[2]/msItem[10]/author,1,Abbā Daniel,,http://syriaca.org/person/1203,b9,154a,"A story concerning a monk and his sister , narrated by Abbā Daniel",ܬܘܒ ܬܫܥܝܬܐ ܕܐܒܐ ܕܢܝܐܝܠ ܥܠ ܕܝܪܝܐ ܚܕ ܘܚܬܐ ܕܝܠܗ,,,,ready to ingest,Justin Arnwine,Likely Daniel of Scetis (see the Syriaca work URI: http://syriaca.org/work/1179),3:1111-1116,DCCCCLII,Add MS 14645,"""Forty-one Lives of Saints and Martyrdoms"". Foll. -",,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/342|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[2]/msContents/msItem[4]/msItem[1]/author,/data/tei/342.xml,http://syriaca.org/manuscript/342,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[2]/msContents/msItem[4]/msItem[1]/author,1,Abbā Moses,,http://syriaca.org/person/1386,p2b5,95a,Sayings of Abbā Moses,ܡܠܦܢܘܬܐ ܕܡ̈ܠܘܗܝ ܕܐܒܐ ܡܘܫܐ,,,,ready to ingest,Justin Arnwine,More likely Moses the Black,II:744-745,DCCLXXII,Add MS 14606,"""Extracts from the Lives of the Egyptian Fathers"". Foll. 95a-146",,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/635|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[2]/msContents/msItem[9]/author,/data/tei/635.xml,http://syriaca.org/manuscript/635,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[2]/msContents/msItem[9]/author,1,Abbā Pambo,,,p2a9,154a,A saying of Abbā Pambo,ܗ̣ܘ ܐܒܐ ܬܐܝܕܘܪܐ ܫܐܠ ܠܐܒܐ ܦܡܒܘ ܏ܘܫ,,,,no Syriaca entry,Alexys Ahn,,3:1122-1123,DCCCCLIX,"Add MS 14730, foll. 112-164",,,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/342|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[2]/msContents/msItem[4]/msItem[2]/author,/data/tei/342.xml,http://syriaca.org/manuscript/342,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[2]/msContents/msItem[4]/msItem[2]/author,1,Abbā Poemen,http://syriaca.org/person/2739,http://syriaca.org/person/2739,p2b6,96b,Sayings of Abbā Poemen,ܬܘܒ ܡ̈ܠܘܗܝ ܕܐܒܐ ܦܘܡܝܢ,,,,ready to ingest,Alexys Ahn,,II:744-745,DCCLXXII,Add MS 14606,"""Extracts from the Lives of the Egyptian Fathers"". Foll. 95a-146",,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/980|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[3]/msItem[23]/author,/data/tei/980.xml,http://syriaca.org/manuscript/980,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[3]/msItem[23]/author,1,Abbā the Catholicus,,http://syriaca.org/person/306,b27,165b,"At compline, by Abbā the Catholicus .",ܕܣܘܒܥܐ܀ ܠܡܪܝ ܐܒܐ ܩܬܘ܏ܠܝ.,ܫܘܒܚܠܟ (sic) ܡܪܝ ܡܐ ܛܒ ܐܢܬ. ܏ܘܫ.,,,ready to ingest,Justin Arnwine,Assemani cross-reference suggests Aba I (d. 552),1:134-136,CXCI,Add MS 17219,"""Hymns and Prayers for various occasions."". Foll. 149b-166",,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/841|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[2]/msItem/author,/data/tei/841.xml,http://syriaca.org/manuscript/841,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[2]/msItem/author,1,Abbat John,,http://syriaca.org/person/827,a3,120a,"The letter of the abbat John , to which no. 1 is the reply, requesting Daniel of Salach to compose his commentary on the Psalms.",ܬܘܒ ܐܝܓܪܬܐ ܕܟܬܒ ܪܚ̇ܡ ܐܠܗܐ ܡܪܝ ܝܘܚܢܢ ܪܝܫܕܝܪܐ ܕܡܪܝ ܐܘܣܒ ܟܦܪܐ ܕܒܪܬܐ ܠܡܪܝ ܕܢܝܐܝܠ. ܕܢܟܬܘܒ ܠܗ ܦܘܫܩܐ ܕܡܙܡܘܪ̈ܐ ܕܕܘܝܕ ܢܒܝܐ,ܠܡܠܦܢܐ ܚܟܝܡܐ ܘܪܚܡ̣ܬ ܐܠܗܐ: ܝܕܥܬܐ ܡܫܡܠܝܬܐ. ܡܠ̣ܐ ܚܘܒܐ ܡܫܝܚܝܐ. ܚܟܝܡ ܒܕܚܠܬ ܡܪܗ. ܘܡܫܪܪ ܥܠ ܝܒܠܗ̇ ܕܗܝ̇ܡܢܘܬܐ. ܚܘܬܪܗ̇ ܘܫܘܒܗܪܗ̇ ܕܒܨܝܪܘܬܝ. ܛܥ̣ܝܢ ܚܫܗ ܕܡܪܗ ܒܩܢܘܡܗ. ܡܪܝ ܕܢܝܐܝܠ ܩܫܝܫܐ ܘܪܝܫܕܝܪܐ. ܡܢ ܒܨܝܪܐ ܩܫܝܫܐ ܘܪܝܫܕܝܪܐ ܝܘܚܢܢ ܕܥܘܡܪܐ ܩܕܝܫܐ ܕܒܝܬ ܡܪܝ ܐܘܣܒ. ܕܟܦܪܐ ܪܒܪܬܐ ܟܘܪܐ ܕܐܦܡܝܐ. ܒܝܫܘܥ ܐܠܗܐ ܡܠܬܐ ܓ̇ܡܪ ܟܠ ܒܚܫܐ ܕܙܩܝܦܗ ܣ̇ܓܝ ܫܠ̣ܡ܀ ܥܢܝܢܐ ܡܪܝ ܫܦܝܪܐ ܕܡܫܬܡܪ ܒܬܦ̈ܐ ܕܚ[ـܘ]ܒܐ ܠܝܕܥܬܐ. ܡܥܕ ܒܟܠ ܠܗ ܠܡܡܚܛܦ (sic) $ܘܠܡܬܠ ܦܐܪ̈ܐ ܐܝܠܝܢ ܕܥܠ ܕܪܦܘ (sic) $ܟܬܝ̈ܒܬܐ ܐܬܝ̈ܢ܇ ܐܝܟ ܕ̈ܫܢܐ ܕܒܘܣܡܐ ܠܟܦܢܘܬܗ̇ ܕܢܦܫܐ܇ ܏ܘܫ.,,,ready to ingest,Alexys Ahn,,12:05,DCCVIII,Add MS 17187,"Daniel of Salach. ""A letter of Daniel of Salach to John , abbat of the convent of Eusebius at ܟܦܪܐ ܕܒܪܬܐ , in the district of Apamea , stating his reasons for writing this commentary, and making it as concise as possible."". Foll. 120a-120a",,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/763|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[36]/author,/data/tei/763.xml,http://syriaca.org/manuscript/763,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[36]/author,1,Abbat John bar Aphtunaya,http://syriaca.org/person/52,http://syriaca.org/person/52,b36,65b,Morning hymns,ܡܥ̈ܢܝܬܐ ܕܨ̇ܦܪܐ,,,,ready to ingest,Alexys Ahn,,I:330-339,CCCCXXI,Add MS 17134,"Severus, patriarch of Antioch, John bar Aphtūnāyā ('Αφθόνιος), abbat of Kinnesrīn, John (Psaltes or Calligraphus), abbat of Kinnesrīn. ""The Hymns ܡ̈ܥܢܝܬܐ of Severus, patriarch of Antioch , John bar Aphtūnāyā ('Αφθόνιος), abbat of Kinnesrīn, John (Psaltes or Calligraphus), abbat of Kinnesrīn, and other writers; translated from the Greek into Syriac by Paul, bishop of Edessa, when he was residing in the island of Cyprus (see below); and revised and corrected by Jacob, in the year above mentioned"". Foll. 1a-85b",,,,,,,,,,,,,FALSE
