temp_id,Citation in Wright,MS URI where first encountered,Page in Wright where first encountered,Added by,,Optional Brief description,Optional Full Citation,Optional Comments to Gen. Editors,cbss_uri,,,,
smblBibl1,"Surius, ""De Probatis Sanctorum Vitis,"" t. iv.",https://bl.syriac.uk/ms/866,1081 https://archive.org/details/catalogueofsyria03brituoft/page/1081/mode/1up,Annunziata Di Rienzo,,,,,https://www.zotero.org/groups/4861694/items/K3XWLC2C,Complete,,,
smblBibl2,"Opera (ed. 1755), t. i., p. 601 B; Opera (ed. 1755), t. i., p. 603 C",https://bl.syriac.uk/ms/1140,501 https://archive.org/details/catalogueofsyria02brituoft/page/501/mode/1up,Giulia Seclì,,Dionysii Areopagitæ Opera omnia,,https://books.google.be/books/about/Dionysii_Areopagit%C3%A6_Opera_omnia_qu%C3%A6_ex.html?id=ID8JuQAACAAJ&redir_esc=y,https://www.zotero.org/groups/4861694/items/6CR57FW7,Complete,"Might want to fix the Citation? basically quoting two pages in a same book, but the editor has put in as two separate entry.",,
smblBibl3,"Patrologia Graeca (Migne) 31, 1305-1308 (nn. 1-11) = Garnier",https://bl.syriac.uk/ms/260,https://archive.org/details/catalogueofsyria02brituoft/page/972,Carlo Emilio Biuzzi,,Patrologia Graeca of Basil of Caesarea,,CPG-2897.1,https://www.zotero.org/groups/4861694/items/G9VNTIK7,Complete,already in Zotero,,
smblBibl4,"Gregorii, Macarii et Basilii Opera, ed. Par. 1622,",https://bl.syriac.uk/ms/209,https://archive.org/details/catalogueofsyria01brituoft/page/240,Sofia Puchkova,,,,,https://www.zotero.org/groups/4861694/items/48TZQRWZ,Complete,,,
smblBibl5,"Chrysostom, Opera, ed. Par. 1837, t. ii., p. 953",https://bl.syriac.uk/ms/209,https://archive.org/details/catalogueofsyria01brituoft/page/240,Sofia Puchkova,,,,,https://www.zotero.org/groups/4861694/items/9DAUI9WG,Complete,,,
smblBibl6,"Gregory of Nazianzus, Opera, ed. Par. 1778, t. i., p. 663",https://bl.syriac.uk/ms/209,https://archive.org/details/catalogueofsyria01brituoft/page/240,Sofia Puchkova,,,,,https://www.zotero.org/groups/4861694/items/Z86V6FFW,Complete,Found - CD. | no open access copy available,,
smblBibl7,"Chrysostom, Opera, t. vi., p. 459",https://bl.syriac.uk/ms/209,https://archive.org/details/catalogueofsyria01brituoft/page/240,Sofia Puchkova,,,,,https://www.zotero.org/groups/4861694/items/URQJVSHL,Complete,,,
smblBibl8,"Renaudot, Hist. Patr. Alexandr. Jacobit., p. 554,",https://bl.syriac.uk/ms/70,see pag. 1138 (note) https://archive.org/details/catalogueofsyria03brituoft/page/1122/mode/2up,Annunziata Di Rienzo,,,,also https://bl.syriac.uk/ms/588; also https://bl.syriac.uk/ms/315,https://www.zotero.org/groups/4861694/items/6PIG34XQ,Complete,,,
smblBibl9,"Le Quien, Oriens Christ., t. ii., col. 488",https://bl.syriac.uk/ms/70,see pag. 1138 (note) https://archive.org/details/catalogueofsyria03brituoft/page/1122/mode/2up,Annunziata Di Rienzo,,,,,https://www.zotero.org/groups/4861694/items/ZR527MHS,Complete,,,
smblBibl10,"Basil, Opera, ed. Par. 1839, t. ii., p. 14",https://bl.syriac.uk/ms/209,see page 241 https://archive.org/details/catalogueofsyria01brituoft/page/240,Sofia Puchkova,,,,,https://www.zotero.org/groups/4861694/items/LFRWXUWL,Complete,,,
smblBibl11,"Chrysostom, Opera, t. viii., p. 666",https://bl.syriac.uk/ms/209,see page 241 https://archive.org/details/catalogueofsyria01brituoft/page/240,Sofia Puchkova,,,,,https://www.zotero.org/groups/4861694/items/L6NMGDN9,Complete,,,
smblBibl12,"Gregory of Nyssa, Opera, ed. Par. 1638, t. iii., p. 339",https://bl.syriac.uk/ms/210,see page 241 https://archive.org/details/catalogueofsyria01brituoft/page/240,Sofia Puchkova,,,,,https://www.zotero.org/groups/4861694/items/2U3TRZZC,Complete,,,
smblBibl13,"Chrysostom, Opera, t. vii., p. 354",https://bl.syriac.uk/ms/210,see page 245 https://archive.org/details/catalogueofsyria01brituoft/page/244,Sofia Puchkova,,,,,https://www.zotero.org/groups/4861694/items/HAIPPX82,Complete,,,
smblBibl14,"Chrysostom, Opera, t. iii., p. 516",https://bl.syriac.uk/ms/210,https://archive.org/details/catalogueofsyria01brituoft/page/244,Sofia Puchkova,,,,,https://www.zotero.org/groups/4861694/items/MMUEQD39,Complete,,,
smblBibl15,"Acta Sanctorum for January, tom. i., pp. 85—89",https://bl.syriac.uk/ms/70,see p. 1124 https://archive.org/details/catalogueofsyria03brituoft/page/1122/mode/2up,Annunziata Di Rienzo,,,,,https://www.zotero.org/groups/4861694/items/M6CWEDMB,Complete,"If a link to Archive.org is slightly wrong, should I fix it? / Multiple Volumes, question on the title",https://archive.org/details/actasanctorum22unse/page/n12/mode/1up,https://www.roger-pearse.com/weblog/2012/06/19/volumes-of-the-acta-sanctorum-online/
smblBibl16,"Acta Sanctorum for July, t. i., p. 136",https://bl.syriac.uk/ms/70,https://archive.org/details/catalogueofsyria03brituoft/page/1122/mode/2up (see p. 1125),Annunziata Di Rienzo,,,,,https://www.zotero.org/groups/4861694/items/44QFWCKN,Complete,,,
smblBibl17,"Rosweyde, Vitae Patrum",https://bl.syriac.uk/ms/70,https://archive.org/details/catalogueofsyria03brituoft/page/1122/mode/2up (see p. 1125),Annunziata Di Rienzo,,,,,https://www.zotero.org/groups/4861694/items/4SU2ENGK,Complete,"I believe Wright does use the 1628, based on his pagination elsewhere. - CD | which edition? 1628?",,
smblBibl18,"Acta Sanctorum for June, t.ii., p. 938",https://bl.syriac.uk/ms/70,(see p. 1125) https://archive.org/details/catalogueofsyria03brituoft/page/1122/mode/2up,Annunziata Di Rienzo,,,,,https://www.zotero.org/groups/4861694/items/2Q9AVXQC,Complete,Question on indicating volumes,,
smblBibl19,"Gregorii Naz. Opera, t. i., p. cxxv",https://bl.syriac.uk/ms/70,(see p. 1125) https://archive.org/details/catalogueofsyria03brituoft/page/1122/mode/2up,Annunziata Di Rienzo,,,,,https://www.zotero.org/groups/4861694/items/Z86V6FFW,Complete,seems to be the same one with smblBibl6. But no open access copy available,,
smblBibl20,"Labbe, Sacrosancta Concilia, t. vi., coll. 393 E and 397 A",https://bl.syriac.uk/ms/260,https://archive.org/details/catalogueofsyria02brituoft/page/975,Carlo Emilio Biuzzi,,"Edition of the edit of Justinian ""adversus tria capitula""",,https://books.google.fr/books?id=HI9EAAAAcAAJ&printsec=frontcover&hl=fr#v=onepage&q&f=false,https://www.zotero.org/groups/4861694/items/FYRDYRCV,Complete,,,
smblBibl22,"Opera, ed. 1698, t. i., pars 1, pp. 48 C —49 E",https://bl.syriac.uk/ms/260,https://archive.org/details/catalogueofsyria02brituoft/page/975,Carlo Emilio Biuzzi,,Edition of the works of Athanasius of Alexandria,,(I was unable to find it) but CPG-2091,https://www.zotero.org/groups/4861694/items/P74EH386,Complete,"Citation says 1698 and vol.1(primus), but I can only locate Secundus. Primus is 1627/ Works of Athanasius [JA}. Update: I've located volume 1, part 1 of the 1698 edition. Wright cites the 1698 later as well; this seems to be the edition he uses. Citation updated; old citation removed. [CD]",,
smblBibl23,"Bianchini, Vindiciae Canonic. Scriptur., pp. cclxxiv., cclxxvi",https://bl.syriac.uk/ms/4,(p. 1:30) https://archive.org/details/cataloguesyriac01wriggoog/page/n40,Carlo Emilio Biuzzi,,,,,https://www.zotero.org/groups/4861694/items/JTCVBHBP,Complete,,,
smblBibl24,"Daniel secundum LXX., Rome, 1772, pp. 74, 75",https://bl.syriac.uk/ms/4,(p. 1:30) https://archive.org/details/cataloguesyriac01wriggoog/page/n40,Carlo Emilio Biuzzi,,,,,https://www.zotero.org/groups/4861694/items/X8GNCLE4,Complete,Unsure of an editor,,
smblBibl25,"Zeitschrift der Deutschen Morgenlandischen Gesellschaft, Band iii. p. 427",https://bl.syriac.uk/ms/4,(p. 1:30) https://archive.org/details/cataloguesyriac01wriggoog/page/n40,Carlo Emilio Biuzzi,,,,,https://www.zotero.org/groups/4861694/items/S63JWTMF,Complete,,,
smblBibl26,"Middledorpf, Codex Syriaco-hexaplaris, pars i. p. 65",https://bl.syriac.uk/ms/4,(p. 1:30) https://archive.org/details/cataloguesyriac01wriggoog/page/n40,Carlo Emilio Biuzzi,,,,,https://www.zotero.org/groups/4861694/items/Y2JJ8MEH,Complete,,,
smblBibl27,"Chrysostom, Synopsis Scripturae Sacrae; Opera, t. vi., p. 382",https://bl.syriac.uk/ms/4,(p. 1:29) https://archive.org/details/cataloguesyriac01wriggoog/page/n39,Carlo Emilio Biuzzi,,,,,https://www.zotero.org/groups/4861694/items/URQJVSHL,Complete,,,
smblBibl28,"Migne, Patrol. Gr., t. lvi. col. 325",https://bl.syriac.uk/ms/4,(p. 1:29) https://archive.org/details/cataloguesyriac01wriggoog/page/n39,Carlo Emilio Biuzzi,,,,,https://www.zotero.org/groups/4861694/items/RAFPLMH4,Complete,What do I do with PG citations?,,
smblBibl29,"Badger's Nestorians, vol. ii P. 17",https://bl.syriac.uk/ms/1073,https://archive.org/details/catalogueofsyria01brituoft/page/397/mode/1up ,Andrew Tucker,,"Contained in Comprehensive Bib. as two volumes, but does not include the volumes separately",,,https://www.zotero.org/groups/4861694/items/PV9LCIA3,Complete,,,
smblBibl30,"Surius, Vitae Sanctorum, ed. 1617, t. i., Febr., pp. 131 and 133",https://bl.syriac.uk/ms/70,https://archive.org/details/catalogueofsyria03brituoft/page/1122/mode/2up (see p. 1127),Annunziata Di Rienzo,,,,,https://www.zotero.org/groups/4861694/items/WEECEUZ3,Complete,,,
smblBibl31,"Le Quien, Or. Christ., t. ii., col. 1408",https://bl.syriac.uk/ms/1141,https://archive.org/details/catalogueofsyria02brituoft/page/627/mode/1up,Giulia Seclì,,,"Le Quien Michel, Oriens Christianus: in quatuor patriarchatus digestus... Tomus Secundus, col. 1408 n.79",https://books.google.it/books?id=86weAemI-e4C&printsec=frontcover#v=onepage&q&f=false,https://www.zotero.org/groups/4861694/items/ZR527MHS,Complete,,,
smblBibl32,"Surius, Vitae Patrum, t. ii., May, p. 151, capp. i.—xxxviii",https://bl.syriac.uk/ms/425,https://archive.org/details/catalogueofsyria03brituoft/page/1150/mode/1up,Daniel Edwards,,,,,https://www.zotero.org/groups/4861694/items/BSWLPEE4,Complete,not sure of the editor,,
smblBibl33,"Tischendorf, Acta Apostol. Apocrypha, p. 272,",https://bl.syriac.uk/ms/70,https://archive.org/details/catalogueofsyria03brituoft/page/1122/mode/2up (p. 1130),Annunziata Di Rienzo,,,,,https://www.zotero.org/groups/4861694/items/C7FR68V9,Complete,,,
smblBibl34,"Schulze, t. iii., p. 1108",https://bl.syriac.uk/ms/70,https://archive.org/details/catalogueofsyria03brituoft/page/1122/mode/2up,Annunziata Di Rienzo,,"Edition of the Life of Jacob, bishop of Nisibis, from the Philotheus of Theodoret",,,https://www.zotero.org/groups/4861694/items/ACYQHYUF,Complete,,,
smblBibl35,"Acta Sanctorum for October, t. xii.,",https://bl.syriac.uk/ms/70,https://archive.org/details/catalogueofsyria03brituoft/page/1122/mode/2up (p. 1131),Annunziata Di Rienzo,,,,,https://www.zotero.org/groups/4861694/items/9NW8UZCE,Complete,,,
smblBibl36,"Surius, Vitae Sanctorum, t. iv",https://bl.syriac.uk/ms/70,https://archive.org/details/catalogueofsyria03brituoft/page/1122/mode/2up (p. 1131),Annunziata Di Rienzo,,,,,https://www.zotero.org/groups/4861694/items/C3HHBMDB,Complete,,,
smblBibl37,"Martyrologium Romanum, ed. 1845, p. 224,",https://bl.syriac.uk/ms/70,https://archive.org/details/catalogueofsyria03brituoft/page/1122/mode/2up (p. 1132),Annunziata Di Rienzo,,,,,https://www.zotero.org/groups/4861694/items/QNGDDMRE,Complete,,,
smblBibl38,"Surius, Vitae Sanctorum, t. iii",https://bl.syriac.uk/ms/70,https://archive.org/details/catalogueofsyria03brituoft/page/1122/mode/2up (p. 1132),Annunziata Di Rienzo,,,,,https://www.zotero.org/groups/4861694/items/KXJET4KV,Complete,,,
smblBibl39,"Acta Sanctorum for July, t. vi., pp. 125",https://bl.syriac.uk/ms/70,https://archive.org/details/catalogueofsyria03brituoft/page/1122/mode/2up (p. 1132),Annunziata Di Rienzo,,,,,https://www.zotero.org/groups/4861694/items/P5JGPN2X,Complete,,,
smblBibl40,"Acta Sanctorum for September, t. vi",https://bl.syriac.uk/ms/70,https://archive.org/details/catalogueofsyria03brituoft/page/1122/mode/2up,Annunziata Di Rienzo,,,,,https://www.zotero.org/groups/4861694/items/WQW9Q4NJ,Complete,,,
smblBibl41,"Acta Sanctorum for Febr., t. ii.,",https://bl.syriac.uk/ms/70,https://archive.org/details/catalogueofsyria03brituoft/page/1122/mode/2up (p. 1133),Annunziata Di Rienzo,,,,,https://www.zotero.org/groups/4861694/items/TFQZF5LW,Complete,,,
