msUri	msId	Link to ms	msOrPartUri	partId	Link to MS or Part	pdfLink	UniqueXpath	calendar	datingMethod	text	textNode (for comparison)	notBefore	notAfter	when	when-custom	notBefore-custom	notAfter-custom	status	notes
http://syriaca.org/manuscript/10	10	https://bl.vuexistapps.us/ms/10	http://syriaca.org/manuscript/10	10	https://bl.syriac.uk/ms/10	https://archive.org/details/catalogueofsyria01brituoft/page/101	TEI/teiHeader/fileDesc/sourceDesc/msDesc/history/origin/origDate[1]	Gregorian		AD 899	A.D. 899			899				Checked	
http://syriaca.org/manuscript/10	10	https://bl.vuexistapps.us/ms/10	http://syriaca.org/manuscript/10	10	https://bl.syriac.uk/ms/10	https://archive.org/details/catalogueofsyria01brituoft/page/101	TEI/teiHeader/fileDesc/sourceDesc/msDesc/history/origin/origDate[2]	Seleucid	Seleucid	AG 1210	A. Gr. 1210				1210			Checked	
http://syriaca.org/manuscript/985	985	https://bl.vuexistapps.us/ms/985	http://syriaca.org/manuscript/1000	1000		https://archive.org/details/catalogueofsyria03brituoft/page/1198	TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[15]/history/origin/origDate	Gregorian		11th or 12th century		1000	1200					Checked	
http://syriaca.org/manuscript/985	985	https://bl.vuexistapps.us/ms/985	http://syriaca.org/manuscript/1001	1001		https://archive.org/details/catalogueofsyria03brituoft/page/1199	TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[16]/history/origin/origDate	Gregorian		13th century		1200	1300					Checked	
http://syriaca.org/manuscript/1002	1002	https://bl.vuexistapps.us/ms/1002	http://syriaca.org/manuscript/1002	1002	https://bl.syriac.uk/ms/1002	https://archive.org/details/catalogueofsyria01brituoft/page/72	TEI/teiHeader/fileDesc/sourceDesc/msDesc/history/origin/origDate	Gregorian		13th century	xiiith cent.	1200	1300					Checked	
http://syriaca.org/manuscript/1003	1003	https://bl.vuexistapps.us/ms/1003	http://syriaca.org/manuscript/1003	1003	https://bl.syriac.uk/ms/1003	https://archive.org/details/catalogueofsyria01brituoft/page/79	TEI/teiHeader/fileDesc/sourceDesc/msDesc/history/origin/origDate	Gregorian		13th or 14th century	13th or 14th century	1200	1400					Checked	
http://syriaca.org/manuscript/1004	1004	https://bl.vuexistapps.us/ms/1004	http://syriaca.org/manuscript/1004	1004	https://bl.syriac.uk/ms/1004	https://archive.org/details/catalogueofsyria01brituoft/page/94	TEI/teiHeader/fileDesc/sourceDesc/msDesc/history/origin/origDate[1]	Seleucid	Seleucid	AG 1565	A. Gr. 1565				1565			Checked	
http://syriaca.org/manuscript/1004	1004	https://bl.vuexistapps.us/ms/1004	http://syriaca.org/manuscript/1004	1004	https://bl.syriac.uk/ms/1004	https://archive.org/details/catalogueofsyria01brituoft/page/94	TEI/teiHeader/fileDesc/sourceDesc/msDesc/history/origin/origDate[2]	Gregorian		AD 1254	A.D. 1254			1254				Checked	
http://syriaca.org/manuscript/1005	1005	https://bl.vuexistapps.us/ms/1005	http://syriaca.org/manuscript/1006	1006	https://bl.syriac.uk/ms/1006	https://archive.org/details/catalogueofsyria01brituoft/page/96	TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/history/origin/origDate	Gregorian		13th century	13th century	1200	1300					Checked	
http://syriaca.org/manuscript/1005	1005	https://bl.vuexistapps.us/ms/1005	http://syriaca.org/manuscript/1007	1007	https://bl.syriac.uk/ms/1007	https://archive.org/details/catalogueofsyria01brituoft/page/83	TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[2]/history/origin/origDate	Gregorian		13th century	13th century	1200	1300					Checked	
