uri,shelfmark,hmml_project_number,country,city,holding_institution,repository,collection,support,hmml_genres,locus,height_cm,width_cm,layout,date_after,date_before
https://w3id.org/vhmml/readingRoom/view/52226,MS S. 1,Malta Series I 1071,Malta,Valletta,,"Saint Francis Friary (Valletta, Malta)",Malta Series I,PAPER,Grammars,,19.0,13.0,"1 column, 18 lines per page",1600,1700
https://w3id.org/vhmml/readingRoom/view/56719,MS Or. 9,30198,Spain,Montserrat,,Montserrat (Abbey). Biblioteca,30198,PAPER,Fragments | Grammars,,17.6,13.5,"1 column, 15 lines per page",1600,1700
https://w3id.org/vhmml/readingRoom/view/56721,MS Or. 11,30198,Spain,Montserrat,,Montserrat (Abbey). Biblioteca,30198,PAPER,Fragments | Liturgical books (Eastern Christian) | Prayers,,24.0,15.5,"2 columns, 22 lines per page",1600,1700
https://w3id.org/vhmml/readingRoom/view/56730,MS Or. 16,30206,Spain,Montserrat,,Montserrat (Abbey). Biblioteca,30206,PAPER,Commentaries,,24.2,17.2,,1923,1923
https://w3id.org/vhmml/readingRoom/view/56732,MS Or. 17,30208,Spain,Montserrat,,Montserrat (Abbey). Biblioteca,30208,PAPER,Commentaries,,24.3,17.3,,1923,1923
https://w3id.org/vhmml/readingRoom/view/56733,MS Or. 19,30209,Spain,Montserrat,,Montserrat (Abbey). Biblioteca,30209,PAPER,Commentaries,,,,"1 column, 22 lines per page",1900,2000
https://w3id.org/vhmml/readingRoom/view/56734,MS Or. 20,30209,Spain,Montserrat,,Montserrat (Abbey). Biblioteca,30209,PAPER,,,24.7,17.3,,1923,1923
https://w3id.org/vhmml/readingRoom/view/56736,MS Or. 18,30211,Spain,Montserrat,,Montserrat (Abbey). Biblioteca,30211,PAPER,Commentaries,,,,"1 column, 22 lines per page",1924,1924
https://w3id.org/vhmml/readingRoom/view/56737,MS Or. 23,30212,Spain,Montserrat,,Montserrat (Abbey). Biblioteca,30212,PAPER,Liturgical books (Eastern Christian),,,,"1 column, 16 lines per page",1632,1632
https://w3id.org/vhmml/readingRoom/view/56738,MS Or. 21,30213,Spain,Montserrat,,Montserrat (Abbey). Biblioteca,30213,PAPER,Commentaries,,24.6,17.3,,1923,1923
https://w3id.org/vhmml/readingRoom/view/56739,MS Or. 22,30214,Spain,Montserrat,,Montserrat (Abbey). Biblioteca,30214,PAPER,Commentaries,,24.9,17.5,,1923,1923
https://w3id.org/vhmml/readingRoom/view/56741,MS Or. 25,30216,Spain,Montserrat,,Montserrat (Abbey). Biblioteca,30216,PAPER,Liturgical books (Eastern Christian) | Prayers | Hymns,,,,"1 column, 13 lines per page",1800,1900
https://w3id.org/vhmml/readingRoom/view/56744,MS Or. 31,30219,Spain,Montserrat,,Montserrat (Abbey). Biblioteca,30219,PAPER,,,,,,1915,1915
https://w3id.org/vhmml/readingRoom/view/56746,MS Or. 28,30220,Spain,Montserrat,,Montserrat (Abbey). Biblioteca,30220,PAPER,Prayers | Liturgical texts | Catechisms | Bibles | Medical works,,,,"1 column, 15-16 lines per page",1778,1778
https://w3id.org/vhmml/readingRoom/view/56747,MS Or. 30,30221,Spain,Montserrat,,Montserrat (Abbey). Biblioteca,30221,PAPER,Liturgical books (Eastern Christian),,,,"1 column, 22 lines per page",1859,1859
https://w3id.org/vhmml/readingRoom/view/56754,MS Or. 15,30190,Spain,Montserrat,,Montserrat (Abbey). Biblioteca,30190,PAPER,Commentaries,,27.4,18.6,,1923,1923
https://w3id.org/vhmml/readingRoom/view/56755,MS Or. 13,30191,Spain,Montserrat,,Montserrat (Abbey). Biblioteca,30191,PAPER,Commentaries,,27.5,18.6,,1923,1923
https://w3id.org/vhmml/readingRoom/view/56756,MS Or. 14,30192,Spain,Montserrat,,Montserrat (Abbey). Biblioteca,30192,PAPER,Commentaries,,27.5,18.6,,1923,1923
