syriaca_uri,wikidata_id,zh-hans,zh-hant,zh,error_code
http://syriaca.org/place/4476,,,,,
http://syriaca.org/place/4403,,,,,
http://syriaca.org/place/4397,,,,,
http://syriaca.org/place/4313,Q1764282,"八剌沙衮
","八剌沙袞
","八剌沙衮
虎思斡鲁朵",
http://syriaca.org/place/4400,Q10868289,"上都镇
","
","上都镇
",
http://syriaca.org/place/2539,Q101186473,"元大都
大都","
","元大都
大都
汗八里
元大都城墙遗址",
http://syriaca.org/place/4342,Q208471,"开封市
东京开封府
祥符
大梁
南京
南京开封府
汴州
浚仪
开封
东京","開封市
東京開封府
祥符
大梁
南京
南京開封府
汴州
浚儀
開封
東京
汴梁","開封市
東京開封府
祥符
大梁
南京開封府
汴州
浚儀
開封
東京
金朝南京",
http://syriaca.org/place/4344,Q1156,"孟买
","孟買
","孟买
",
http://syriaca.org/place/4231,,,,,
http://syriaca.org/place/4244,Q173731,"加兹尼
","加茲尼
","加兹尼
哥疾宁
吉慈尼
鹤悉那",
http://syriaca.org/place/4395,Q800122,"
","
","勃固
",
http://syriaca.org/place/4390,,,,,
http://syriaca.org/place/4528,Q57448,"宁夏回族自治区
宁夏
宁","寧夏回族自治區
寧夏
寧
甯夏","宁夏回族自治区
宁夏
宁
寧夏
寧
寧夏回族自治區
宁夏自治区
Níngxià",
http://syriaca.org/place/727,,,,,
http://syriaca.org/place/4545,Q5413,"长江
江
扬子江","長江
江
揚子江","長江
江
揚子江
长江",
http://syriaca.org/place/4290,,,,,
http://syriaca.org/place/4367,,,,,
http://syriaca.org/place/2536,Q57906,"扬州市
扬州
扬","揚州市
揚州","扬州市
扬州
Yángzhōu",
http://syriaca.org/place/4287,,,,,
http://syriaca.org/place/2535,Q68695,"泉州市
泉州
鲤","泉州市
泉州
鯉","泉州市
泉州
鲤",
http://syriaca.org/place/4411,,,,,
http://syriaca.org/place/4354,Q10754285,"
","
","
",
http://syriaca.org/place/4281,,,,,
http://syriaca.org/place/4365,,,,,
http://syriaca.org/place/4324,,,,,
http://syriaca.org/place/4376,,,,,
http://syriaca.org/place/4493,,,,,
http://syriaca.org/place/4388,Q234004,"讷尔默达河
","訥爾默達河
","讷尔默达河
纳巴达河",
http://syriaca.org/place/4346,Q45403,"布拉马普特拉河
","
","布拉马普特拉河
布拉馬普特拉河
梵子河",
http://syriaca.org/place/4226,,,,,
http://syriaca.org/place/4319,,,,,
http://syriaca.org/place/4317,Q630805,"彭吉肯特
","彭吉肯特
","彭吉肯特
潘加肯特",
http://syriaca.org/place/4323,,,,,
http://syriaca.org/place/478,Q868527,"吐鲁番市
","吐魯番市
","吐鲁番市
吐魯番市
吐魯番",
http://syriaca.org/place/4488,Q1344389,"杰特苏
七河地区","杰特苏
七河地區","杰特苏
七河地區
谢米列契耶
谢米列契
七河之地","Warning: Wikidata ID from WHG, Q1344389, does not match the returned ID in the JSON, Q1005407. This is likely due to a deprecation and redirect and can be ignored."
http://syriaca.org/place/4261,Q2634612,"
","
","古里安
",
http://syriaca.org/place/4305,Q1057551,"楼兰
","樓蘭
","楼兰
樓蘭
楼兰故城遗址
古楼兰
鄯善国
楼兰古国
古楼兰王国",
http://syriaca.org/place/4399,,,,,
http://syriaca.org/place/4260,,,,,
http://syriaca.org/place/4382,Q609421,"灵武市
","
","灵武市
",
http://syriaca.org/place/4377,,,,,
http://syriaca.org/place/822,Q553907,"旧果亚
戈阿韦尔哈","舊果亞
戈阿韋爾哈","果阿旧城
戈阿韦尔哈",
http://syriaca.org/place/4413,Q200119,"乌贾因
","烏賈因
","乌贾因
优禅尼
邬阇衍那
鄔闍衍那",
http://syriaca.org/place/4301,,,,,
http://syriaca.org/place/4373,Q18097,"朝鲜地区
","朝鮮地区
","朝鮮
朝鲜
朝鮮地區
朝鲜地区",
http://syriaca.org/place/4394,Q80484,"巴特那
","巴特那
","巴特那
华氏城
波吒厘城
庫什馬布拉",
http://syriaca.org/place/649,Q263808,"乌尔古特
","
","烏爾古特
",
http://syriaca.org/place/603,Q2352322,"
","呼羅珊
","呼罗珊
呼羅珊",
http://syriaca.org/place/4371,Q366754,"卡延
","卡延
","卡延
卡良",
http://syriaca.org/place/4294,,,,,
http://syriaca.org/place/4468,,,,,
http://syriaca.org/place/4378,Q5869,"拉萨市
拉萨","拉薩市
拉薩","拉萨市
拉萨",
http://syriaca.org/place/4380,Q12363312,"
","
","
",
http://syriaca.org/place/4473,Q1278514,"海伦市
","
","海伦市
",
http://syriaca.org/place/4366,Q1601618,"河间市
","
","河间市
河間市
河间县",
http://syriaca.org/place/4333,,,,,
http://syriaca.org/place/4312,,,,,
http://syriaca.org/place/4408,,,,,
http://syriaca.org/place/4318,Q1113311,"白沙瓦
","白沙瓦
","白沙瓦
柏夏瓦
白夏瓦",
http://syriaca.org/place/4483,Q35717314,"
","
","临汾
",
http://syriaca.org/place/4423,Q182852,"昆明市
中庆
鄯阐
昆明
春城","昆明市
中慶
鄯闡
昆明
春城","昆明市
中庆
鄯阐
昆明
春城
中慶
鄯闡",
http://syriaca.org/place/4375,Q193499,"克里希纳河
","克里希納河
","克里希纳河
奎師那河
克里斯提纳河",
http://syriaca.org/place/4364,Q16572,"广州市
广州
穗","廣州市
廣州
穗
羊城
五羊城
穗城
花城","广州市
廣州
穗
粤
羊城
五羊城
穗城
花城
Guǎngzhōu
Guǎngzhōu Shì
廣
广州
廣州市
番禺",
http://syriaca.org/place/4251,,,,,
http://syriaca.org/place/4412,,,,,
http://syriaca.org/place/4304,Q11739,"拉合尔
","拉合爾
","拉合爾
",
http://syriaca.org/place/4417,Q28809350,"大同市
大同","大同市
大同","大同市
大同","Warning: Wikidata ID from WHG, Q28809350, does not match the returned ID in the JSON, Q72877. This is likely due to a deprecation and redirect and can be ignored."
http://syriaca.org/place/4527,,,,,
http://syriaca.org/place/4339,,,,,
http://syriaca.org/place/4329,Q269,"塔什干
","塔什干
","塔什干
石头城",
http://syriaca.org/place/4393,,,,,
http://syriaca.org/place/4352,Q30002,"成都市
蓉城
锦官城","成都市
蓉城
錦官城","成都市
蓉城
锦官城
錦官城
Chéngdū",
http://syriaca.org/place/4303,,,,,
http://syriaca.org/place/4264,Q45604,"坎大哈
","坎達哈
","坎大哈
堪達哈",
http://syriaca.org/place/4348,,,,,
http://syriaca.org/place/4396,,,,,
http://syriaca.org/place/4374,,,,,
http://syriaca.org/place/4420,Q69060,"西宁市
西宁","西寧市
西寧","西宁市
西宁
青唐城",
http://syriaca.org/place/4284,,,,,
http://syriaca.org/place/4332,,,,,
http://syriaca.org/place/4336,,,,,
http://syriaca.org/place/4283,,,,,
http://syriaca.org/place/4360,,,,,
http://syriaca.org/place/4315,,,,,
http://syriaca.org/place/4469,,,,,
http://syriaca.org/place/4309,Q16959,"乌鲁木齐市
迪化","烏魯木齊
迪化","乌鲁木齐市
迪化
烏魯木齊
Wūlǔmùqí
乌鲁木齐
烏魯木齊市",
http://syriaca.org/place/4273,Q486244,"粟特
","粟特
","粟特
苏达克
索格底亚
索格狄亞納
粟特人",
http://syriaca.org/place/4386,Q10086,"迈索尔
","邁索爾
","迈索尔
",
http://syriaca.org/place/4479,,,,,
http://syriaca.org/place/4337,Q163607,"吴哥古迹
","吳哥古蹟
","吳哥古蹟
吳哥古城
吳哥",
http://syriaca.org/place/4351,,,,,
http://syriaca.org/place/4297,Q235389,"和田市
","和田市
","和田市
額里齊
和阗市",
http://syriaca.org/place/4347,,,,,
http://syriaca.org/place/4391,Q621143,"鄂尔多斯高原
","鄂爾多斯高原
","鄂尔多斯高原
",
http://syriaca.org/place/4296,Q486195,"希瓦
","希瓦
","希瓦
",
http://syriaca.org/place/4341,,,,,
http://syriaca.org/place/607,Q193325,"梅尔夫
","梅爾夫
","梅尔夫
麻里兀
木鹿地區
梅爾夫
马兰城
木鹿
马雷",
http://syriaca.org/place/4311,Q1921811,"梅尔奇
梅尔基","梅爾基
梅爾奇","梅尔基
梅尔奇
梅尔克",
http://syriaca.org/place/4293,,,,,
http://syriaca.org/place/4286,Q524206,"楚河
","
","楚河
碎叶河",
http://syriaca.org/place/796,,,,,
