fileName,msOrPartUri,manuscript link,physDesc,Encoded Extent,RegEx Extracted,Extracted Extent,Corrected Extent,status,assignee,Encoded=Extracted?,comments
/data/tei/142.xml,http://syriaca.org/manuscript/142,https://bl.vuexistapps.us/manuscript/142,"Vellum, about 6 5/8 in. by 4 5/8, consisting of 130 leaves, many of which are much stained and torn, especially foll. 2, 3, 5, 6, 8, 9, 42, 62, 79, 83, 84, 91, and 126—130. The quires, signed with letters, were originally 25 in number; but several are now lost, and others are imperfect, leaves being missing at the beginning and end, as well as after foll. 7, 12, 82, 84, 99, 110, and 120. Each page has from 20 to 24 lines.",130,130 leaves,130,130,done,Kurt Urban,TRUE,
/data/tei/1042.xml,http://syriaca.org/manuscript/1042,https://bl.vuexistapps.us/manuscript/1042,"Paper, about 6 3/4 in. by 5, consisting of 80 leaves, some of which are much stained and torn, especially foll. 1, 10, 25, 43, 65, 72, and 80. The quires, originally at least 12 in number, are signed with letters; but they are also marked with Arabic words (e.g. fol. 26 a, % ), and a later hand has numbered the leaves with Coptic arithmetical figures. The first two quires are missing; there are lacunae after foll. 10, 18, 35, 42, 64, and 72; and more than a quire is wanting at the end. The number of lines in each page varies from 14 to 19.",,80 leaves,80,80,done,Kurt Urban,FALSE,
/data/tei/215.xml,http://syriaca.org/manuscript/215,https://bl.vuexistapps.us/manuscript/215,"Vellum, about 10 1/2 in. by 7 1/8 , consisting of 12 leaves, the remnants of a volume of 10 or 12 quires (fol. 8,ܚ; fol.10,ܝـ), Each page is divided into two columns, of from 28 to 32 lines. The writing is good and regular, of about the x cent.",12,12 leaves,12,12,done,Kurt Urban,TRUE,
/data/tei/366.xml,http://syriaca.org/manuscript/366,https://bl.vuexistapps.us/manuscript/366,"Vellum, about 9 1/4 in. by 5 7/8, consisting of 25 leaves, several of which are much stained and slightly torn, especially foll. 8, 11, 16, 19, and 25. The quires are signed with letters, but not a single one is perfect, leaves being wanting at the beginning and end, as well as after foll. 7, 8, 9, 10, 11, and 17. Each page is divided into two columns, of from 25 to 30 lines.",25,25 leaves,25,25,done,Kurt Urban,TRUE,
/data/tei/365.xml,http://syriaca.org/manuscript/365,https://bl.vuexistapps.us/manuscript/365,"Vellum, about 11 3/4 in. by 9, consisting of 144 leaves, some of which are much stained and torn, especially foll. 1, 132—137, and 144. The quires, signed with both Greek (Coptic) and Syriac letters, were originally 21 in number, but of the first three only a single leaf remains, and there are lacunae of greater or less extent after foll. 20, 60, 131, 134, 135, 137, 143, and 144. From the commencement as far as fol. 121, the pages are numbered by the hand of the scribe, the verso of each leaf being marked with its appropriate letter or letters. Each page is divided into two columns, of from 29 to 34 lines. This volume is written in a good, regular hand of about the xth cent.",144,144 leaves,144,144,done,Kurt Urban,TRUE,
/data/tei/409.xml,http://syriaca.org/manuscript/409,https://bl.vuexistapps.us/manuscript/409,"Vellum, about 13 3/8 in. by 8, consisting of 430 leaves, many of which are much stained and soiled. The quires, signed with letters, are 43 in number. Each page is divided into two columns, of from 28 to 42 lines.",,430 leaves,430,430,done,Kurt Urban,FALSE,
/data/tei/422.xml,http://syriaca.org/manuscript/422,https://bl.vuexistapps.us/manuscript/422,"Vellum, about 9 1/4 in. by 7 1/8, consisting of 50 leaves, most of which are more or less stained and torn, especially foll. 1—3, 5, 7, 9, 11—15, 22, 24, 27, 28, 31, 34, 43, 44, and 46—50. The quires were originally signed with arithmetical figures (see fol. 30 a), but a later hand has marked them with letters. Leaves are wanting at the beginning and end, as well as after foll. 1, 2, 4, 5, 11, 17, 24, 27, 31, 32, 33, 37, 41, and 44. Each page is divided into two columns, of from 27 to 32 lines. This volume is written in a fine, regular, Edessene hand of the vth or vith cent.",50,50 leaves,50,50,done,Kurt Urban,TRUE,
/data/tei/405.xml,http://syriaca.org/manuscript/405,https://bl.vuexistapps.us/manuscript/405,"Vellum, about 11 5/8 in. by 9, consisting of 171 leaves, some of which are much stained and torn, especially foll. 1, 9, 39, 99, 109, 111—114, 116, and 171. The quires, signed with letters, were 20 in number, but the first is lost, and ܝܓ is imperfect, leaves being missing after foll. 110 and 114. Each page is divided into two columns, of from 30 to 38 lines in the older portions of the volume, and from 20 to 36 in the more recent.",171,171 leaves,171,171,done,Kurt Urban,TRUE,
/data/tei/185.xml,http://syriaca.org/manuscript/185,https://bl.vuexistapps.us/manuscript/185,"Vellum, about 7 ¼ in. by 5 7/8, consisting of 193 leaves, a few of which are much stained and torn, especially foll.1, 2, 23, 54, 84, and 187 —193. The quires, one of which (ܝܓ) has as many as 18leaves, are signed with letters. Originally they must have been 18 or 19 in number, but several of them are very imperfect, leaves being wanting at the beginning and end, as well as after foll. 10, 41, 102, 111, 187, 188 and 192. There are from 14 to 22lines in each page. This manuscript is written in a good, clear hand of the xthor xithcent.",193,193 leaves,193,193,done,Kurt Urban,TRUE,
/data/tei/131.xml,http://syriaca.org/manuscript/131,https://bl.vuexistapps.us/manuscript/131,"Vellum, about 9 3/8 in. by 6 1/8, consisting of 157 leaves, some of which are much stained and torn, especially foll.10, and 154 —157. The quires, 16 in number, are signed with both letters and arithmetical figures (e. g. fol. 20 a, ܓ, fol. 70 a,ܚ); a later hand has re-numbered them with letters only. One leaf is wanting at the beginning, and another after fol. 149. Each page is divided into two columns, of from 25 to 33 lines. The writing is a small, neat Estrangelaof the vith or viith cent.; but foll. 154 band 156a have been retouched at a later date, and one half of fol. 155 has been supplied on paper about the end of xith cent.",157,157 leaves,157,157,done,Kurt Urban,TRUE,
