node,ms-uri,node-structure,msItem-id,structure-id,xpath
"<bibl >Add. 12,173, no. 1, b, fol. 58 b</bibl>",http://syriaca.org/manuscript/347,<bibl >CDATA</bibl>,b1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[7]/msItem[1]/note/bibl
"<bibl >Add. 14,582, fol. 190 b</bibl>",http://syriaca.org/manuscript/347,<bibl >CDATA</bibl>,a7,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[8]/note/bibl[1]
"<bibl >Add. 14,597, fol. 156 a</bibl>",http://syriaca.org/manuscript/347,<bibl >CDATA</bibl>,a7,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[8]/note/bibl[2]
"<bibl >Add. 12,150, fol. 1</bibl>",http://syriaca.org/manuscript/347,<bibl >CDATA</bibl>,a11,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[12]/note/bibl
"<bibl >Add. 14,658, no. 1</bibl>",http://syriaca.org/manuscript/429,<bibl >CDATA</bibl>,a1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/note[2]/bibl[1]
"<bibl ><ptr target='http://syriaca.org/manuscript/420'></ptr>Add. 14,652,<citedRange unit='pp' from='1b' to='1b'>fol. 1b</citedRange></bibl>",http://syriaca.org/manuscript/119,<bibl ><ptr target='VALUE'></ptr>CDATA<citedRange unit='VALUE' from='VALUE' to='VALUE'>CDATA</citedRange></bibl>,a1,structure-2,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/note[1]/bibl[1]
"<bibl >Add 14,707<ptr target='http://syriaca.org/manuscript/573'></ptr></bibl>",http://syriaca.org/manuscript/1020,<bibl >CDATA<ptr target='VALUE'></ptr></bibl>,,structure-3,TEI/teiHeader/fileDesc/sourceDesc/msDesc/physDesc/handDesc/handNote[1]/desc/bibl
"<bibl >Add. 14,578</bibl>",http://syriaca.org/manuscript/356,<bibl >CDATA</bibl>,a1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[1]/note/bibl
"<bibl >Add. 14,578, no. 1</bibl>",http://syriaca.org/manuscript/356,<bibl >CDATA</bibl>,b1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[1]/msItem[1]/note/bibl
"<bibl >Add. 14,578, no. 9</bibl>",http://syriaca.org/manuscript/356,<bibl >CDATA</bibl>,b2,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[1]/msItem[2]/note/bibl
"<bibl >Add. 14,578, no. 4</bibl>",http://syriaca.org/manuscript/356,<bibl >CDATA</bibl>,b4,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[1]/msItem[4]/note/bibl
"<bibl >Add. 14,578, no. 13</bibl>",http://syriaca.org/manuscript/356,<bibl >CDATA</bibl>,b5,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[1]/msItem[5]/note/bibl
"<bibl >Add. 14,578, no. 5</bibl>",http://syriaca.org/manuscript/356,<bibl >CDATA</bibl>,b6,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[1]/msItem[6]/note/bibl
"<bibl >Add. 14,578, no. 23</bibl>",http://syriaca.org/manuscript/356,<bibl >CDATA</bibl>,b7,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[1]/msItem[7]/note/bibl
"<bibl ><msIdentifier ><idno type='shelfmark'>Add. 14,643</idno><altIdentifier ><idno type='URL'>http://syriaca,org/manuscript/407</idno></altIdentifier></msIdentifier></bibl>",http://syriaca.org/manuscript/911,<bibl ><msIdentifier ><idno type='VALUE'>CDATA</idno><altIdentifier ><idno type='VALUE'>CDATA</idno></altIdentifier></msIdentifier></bibl>,p1a1,structure-4,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msContents/msItem/note/listBibl/bibl
"<bibl ><msIdentifier ><idno type='shelfmark'>Add. 14,509</idno><altIdentifier ><idno type='URL'>http://syriaca.org/manuscript/203</idno></altIdentifier></msIdentifier></bibl>",http://syriaca.org/manuscript/911,<bibl ><msIdentifier ><idno type='VALUE'>CDATA</idno><altIdentifier ><idno type='VALUE'>CDATA</idno></altIdentifier></msIdentifier></bibl>,p3a1,structure-4,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[3]/msContents/msItem/note/listBibl/bibl
"<bibl >Add. 14,509<ptr target='http://syriaca.org/manuscript/203'></ptr></bibl>",http://syriaca.org/manuscript/911,<bibl >CDATA<ptr target='VALUE'></ptr></bibl>,,structure-3,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[3]/physDesc/p/bibl
"<bibl ><msIdentifier ><idno type='shelfmark'>Add. 14,509</idno><altIdentifier ><idno type='URL'>http://syriaca.org/manuscript/203</idno></altIdentifier></msIdentifier></bibl>",http://syriaca.org/manuscript/911,<bibl ><msIdentifier ><idno type='VALUE'>CDATA</idno><altIdentifier ><idno type='VALUE'>CDATA</idno></altIdentifier></msIdentifier></bibl>,,structure-4,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[3]/physDesc/objectDesc/supportDesc/condition/list/item/p[2]/listBibl/bibl
"<bibl ><msIdentifier ><idno type='shelfmark'>Add. 17,156</idno><altIdentifier ><idno type='URL'>http://syriaca.org/manuscript/785</idno></altIdentifier></msIdentifier>,<biblScope ><locus from='16'>fol. 16</locus></biblScope>.</bibl>",http://syriaca.org/manuscript/911,<bibl ><msIdentifier ><idno type='VALUE'>CDATA</idno><altIdentifier ><idno type='VALUE'>CDATA</idno></altIdentifier></msIdentifier>CDATA<biblScope ><locus from='VALUE'>CDATA</locus></biblScope>CDATA</bibl>,p4a1,structure-5,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[4]/msContents/msItem/note/listBibl/bibl
"<bibl ><msIdentifier ><idno ref='http://syriaca.org/manuscript/42'>Add. 12, 163, fol. 128b</idno></msIdentifier></bibl>",http://syriaca.org/manuscript/341,<bibl ><msIdentifier ><idno ref='VALUE'>CDATA</idno></msIdentifier></bibl>,b2,structure-6,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[1]/msItem[2]/listBibl/bibl
"<bibl >Add. 14,669, foll. 1-18<ptr target='http://syriaca.org/manuscript/497'></ptr></bibl>",http://syriaca.org/manuscript/496,<bibl >CDATA<ptr target='VALUE'></ptr></bibl>,,structure-3,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msPart/physDesc/p[1]/bibl
"<bibl >Add. 14,669, foll. 1-18<ptr target='http://syriaca.org/manuscript/497'></ptr></bibl>",http://syriaca.org/manuscript/496,<bibl >CDATA<ptr target='VALUE'></ptr></bibl>,,structure-3,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msPart/physDesc/objectDesc/supportDesc/condition/list/item/p[1]/bibl
"<bibl ><msIdentifier ><idno ref='http://syriaca.org/manuscript/311 '>Add. 14,575,</idno></msIdentifier><citedRange >items 1—6</citedRange></bibl>",http://syriaca.org/manuscript/61,<bibl ><msIdentifier ><idno ref='VALUE'>CDATA</idno></msIdentifier><citedRange >CDATA</citedRange></bibl>,p1a1,structure-7,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msContents/msItem/note/bibl
"<bibl >Add. 14,649, fol. 103 b</bibl>",http://syriaca.org/manuscript/61,<bibl >CDATA</bibl>,p3a2,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[3]/msContents/msItem[2]/note[1]/bibl
"<bibl >Add. 12,172, foll. 28 and 31<ptr target='http://syriaca.org/manuscript/1492'></ptr></bibl>",http://syriaca.org/manuscript/61,<bibl >CDATA<ptr target='VALUE'></ptr></bibl>,,structure-3,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[3]/physDesc/objectDesc/supportDesc/condition/list/item/p/bibl
"<bibl >Add. 12,172, foll. 25-54<ptr target='http://syriaca.org/manuscript/64'></ptr></bibl>",http://syriaca.org/manuscript/61,<bibl >CDATA<ptr target='VALUE'></ptr></bibl>,,structure-3,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[4]/physDesc/p/bibl
"<bibl >Add. 12,172, foll. 25-54<ptr target='http://syriaca.org/manuscript/64'></ptr></bibl>",http://syriaca.org/manuscript/61,<bibl >CDATA<ptr target='VALUE'></ptr></bibl>,,structure-3,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[4]/physDesc/objectDesc/supportDesc/condition/list/item/p/bibl
"<bibl >Add. 12,172,
                        foll. 65—135<ptr target='http://syriaca.org/manuscript/66'></ptr></bibl>",http://syriaca.org/manuscript/61,<bibl >CDATA<ptr target='VALUE'></ptr></bibl>,,structure-3,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[6]/msPart[1]/physDesc/objectDesc/supportDesc/condition/list/item/p/bibl
"<bibl >Add.<choice ><sic >21,154</sic><corr resp='http://syriaca.org/documentation/editors.xml#jarnwine'>12,154</corr></choice><ptr target='http://syriaca.org/manuscript/29'></ptr>, fol.<citedRange unit='locus'>264b</citedRange>seqq., and<citedRange unit='locus'>291a</citedRange></bibl>",http://syriaca.org/manuscript/61,<bibl >CDATA<choice ><sic >CDATA</sic><corr resp='VALUE'>CDATA</corr></choice><ptr target='VALUE'></ptr>CDATA<citedRange unit='VALUE'>CDATA</citedRange>CDATA<citedRange unit='VALUE'>CDATA</citedRange></bibl>,p6_2a1,structure-8,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[6]/msPart[2]/msContents/msItem/note/bibl
"<bibl >Add. 12,172,
                        foll. 65—135<ptr target='http://syriaca.org/manuscript/66'></ptr></bibl>",http://syriaca.org/manuscript/61,<bibl >CDATA<ptr target='VALUE'></ptr></bibl>,,structure-3,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[6]/msPart[2]/physDesc/p/bibl
"<bibl >Add. 12,172,
                        foll. 65—135<ptr target='http://syriaca.org/manuscript/66'></ptr></bibl>",http://syriaca.org/manuscript/61,<bibl >CDATA<ptr target='VALUE'></ptr></bibl>,,structure-3,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[6]/msPart[2]/physDesc/objectDesc/supportDesc/condition/list/item/p/bibl
