node,shelfmark,Uri-lookup,lookup_uri,Node-size,ms-uri,node-structure,msItem-id,status,structure-id,xpath,notes
"<bibl >Add. 17,134</bibl>","Add. 17,134",763,,25,http://syriaca.org/manuscript/1124,<bibl >CDATA</bibl>,a1,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[1]/note/bibl,
"<bibl >Add. 17,134</bibl>","Add. 17,134",763,,25,http://syriaca.org/manuscript/1124,<bibl >CDATA</bibl>,b3,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[1]/msItem[2]/note[3]/bibl,
"<bibl >Add. 17,134, nos. 1—35</bibl>","Add. 17,134",763,,36,http://syriaca.org/manuscript/1124,<bibl >CDATA</bibl>,b3,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[1]/msItem[2]/note[2]/bibl,
"<bibl >Add. 17,134, fol. 11 a</bibl>","Add. 17,134",763,,36,http://syriaca.org/manuscript/1124,<bibl >CDATA</bibl>,,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/physDesc/additions/list/item[1]/p[1]/bibl,
"<bibl >Add. 17,134, nos. 37—39</bibl>","Add. 17,134",763,,37,http://syriaca.org/manuscript/1124,<bibl >CDATA</bibl>,b4,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[2]/note/bibl,
"<bibl >Add. 14,624, no. 2</bibl>","Add. 14,624",364,,32,http://syriaca.org/manuscript/1144,<bibl >CDATA</bibl>,a4,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[4]/note/bibl[2],
"<bibl >Add. 14,645, no. 38.</bibl>","Add. 14,645",409,,34,http://syriaca.org/manuscript/1144,<bibl >CDATA</bibl>,a11,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[11]/note/bibl,
<bibl >Add. 7203</bibl>,Add. 7203,not in Wright,,23,http://syriaca.org/manuscript/1147,<bibl >CDATA</bibl>,p1b4,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msContents/msItem/msItem[4]/note/bibl,
"<bibl >Add. 14, 489</bibl>","Add. 14,489",179,,26,http://syriaca.org/manuscript/178,<bibl >CDATA</bibl>,,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/physDesc/additions/list/item[5]/p[2]/quote/note[1]/bibl,
"<bibl >See Add. 14,525, fol. 68 a.</bibl>","Add. 14,525",248,http://syriaca.org/manuscript/248,41,http://syriaca.org/manuscript/184,<bibl >CDATA</bibl>,c10,done,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[5]/msItem[2]/note/bibl,
"<bibl >Add. 14,505, foll. 198 a (marg.), 215 b,
                and 219 a</bibl>","Add. 14,505",195,,80,http://syriaca.org/manuscript/194,<bibl >CDATA</bibl>,a1,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/note/bibl,
"<bibl >Add. 14,516, fol. 1 a</bibl>","Add. 14,516",210,,35,http://syriaca.org/manuscript/209,<bibl >CDATA</bibl>,c2,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[1]/msItem[2]/note/bibl,
"<bibl >Add. 17,190</bibl>","Add. 17,190",846,,25,http://syriaca.org/manuscript/209,<bibl >CDATA</bibl>,a1,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/note[1]/bibl,
"<bibl >Add. 17,190</bibl>","Add. 17,190",846,,25,http://syriaca.org/manuscript/209,<bibl >CDATA</bibl>,,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/physDesc/additions/list/item[3]/p[1]/bibl,
"<bibl >Add. 14,515</bibl>","Add. 14,515",209,,25,http://syriaca.org/manuscript/210,<bibl >CDATA</bibl>,a1,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/note[1]/bibl[1],
"<bibl >Add. 14,515, fol. 2 b</bibl>","Add. 14,515",209,,35,http://syriaca.org/manuscript/210,<bibl >CDATA</bibl>,d1,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[1]/msItem[1]/msItem/note/bibl,
"<bibl >Add. 14,515, fol. 150 b</bibl>","Add. 14,515",209,,37,http://syriaca.org/manuscript/210,<bibl >CDATA</bibl>,d20,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[1]/msItem[7]/msItem/note/bibl[2],
"<bibl >Add. 14,515, fol. 101 a</bibl>","Add. 14,515",209,,37,http://syriaca.org/manuscript/210,<bibl >CDATA</bibl>,c13,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[1]/msItem[13]/note/bibl,
"<bibl >Add. 17,190, fol. 118 a</bibl>","Add. 17,190",846,,37,http://syriaca.org/manuscript/210,<bibl >CDATA</bibl>,c20,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[2]/msItem[7]/note/bibl,
"<bibl >Add, 12,146</bibl>","Add. 12,146",21,,25,http://syriaca.org/manuscript/22,<bibl >CDATA</bibl>,,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/physDesc/handDesc/handNote[1]/desc/bibl,
"<bibl >Add. 12,146</bibl>","Add. 12,146",21,,25,http://syriaca.org/manuscript/22,<bibl >CDATA</bibl>,,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/physDesc/handDesc/handNote[3]/desc/bibl,
"<bibl >Add. 14,578, fol. 16 b, Nili Opuscula, cd. 1673, p. 408; Migne, t. lxxix., col. 1096, line 3</bibl>","Add. 14,578",314,http://syriaca.org/manuscript/314,106,http://syriaca.org/manuscript/221,<bibl >CDATA</bibl>,a1,done,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/listBibl/bibl,
"<bibl >Add. 12,155, no. xxvii.</bibl>","Add. 12,155",30,,37,http://syriaca.org/manuscript/249,<bibl >CDATA</bibl>,p1a1,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msContents/msItem/note/bibl[1],
"<bibl >Add. 14,527</bibl>","Add. 14,527",252,,25,http://syriaca.org/manuscript/249,<bibl >CDATA</bibl>,p1a1,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msContents/msItem/note/bibl[2],
"<bibl >Add. 14,526, fol. 29 b</bibl>","Add. 14,526",250,,36,http://syriaca.org/manuscript/253,<bibl >CDATA</bibl>,p1a1,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msContents/msItem[1]/note[1]/bibl[1],
"<bibl >Add. 12,151</bibl>","Add. 12,151",26,,25,http://syriaca.org/manuscript/27,<bibl >CDATA</bibl>,a2,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[2]/note/bibl,
"<bibl >Add. 12,175, fol. 122 b</bibl>","Add. 12,175",74,,37,http://syriaca.org/manuscript/317,<bibl >CDATA</bibl>,b5,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[5]/note/bibl[2],
"<bibl >Add. 14,578, no. 2</bibl>","Add. 14,578",314,,32,http://syriaca.org/manuscript/317,<bibl >CDATA</bibl>,b4,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[4]/note/bibl,
"<bibl >Add. 14,578, no. 1</bibl>","Add. 14,578",314,,32,http://syriaca.org/manuscript/317,<bibl >CDATA</bibl>,b5,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[5]/note/bibl[1],
"<bibl >Add. 14,578, no. 3</bibl>","Add. 14,578",314,,32,http://syriaca.org/manuscript/317,<bibl >CDATA</bibl>,b7,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[7]/note/bibl,
"<bibl >Add. 14,580, no. 2, a</bibl>","Add. 14,580",316,,35,http://syriaca.org/manuscript/317,<bibl >CDATA</bibl>,c4,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[6]/msItem[1]/note/bibl,
"<bibl >Add. 14,580, no. 2, c</bibl>","Add. 14,580",316,,35,http://syriaca.org/manuscript/317,<bibl >CDATA</bibl>,c5,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[6]/msItem[2]/note/bibl,
"<bibl >Add. 14,580, no. 2, d</bibl>","Add. 14,580",316,,35,http://syriaca.org/manuscript/317,<bibl >CDATA</bibl>,c6,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[6]/msItem[3]/note/bibl,
"<bibl >Add. 17,174</bibl>","Add. 17,174",826,,25,http://syriaca.org/manuscript/319,<bibl >CDATA</bibl>,a1,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[1]/note/bibl,
"<bibl >Add. 17,174</bibl>","Add. 17,174",826,,25,http://syriaca.org/manuscript/319,<bibl >CDATA</bibl>,b2,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[1]/msItem[2]/note/bibl,
"<bibl >[Wright] Add. 17,163, fol. 23b</bibl>","Add. 17,163",809,http://syriaca.org/manuscript/809,44,http://syriaca.org/manuscript/323,<bibl >CDATA</bibl>,c1,done,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[1]/msItem/msItem[1]/listBibl/bibl[2],
"<bibl >Add. 12,150, fol. 1</bibl>","Add. 12,150",25,,33,http://syriaca.org/manuscript/347,<bibl >CDATA</bibl>,a11,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[12]/note/bibl,
"<bibl >Add. 12,173, no. 1, b, fol. 58 b</bibl>","Add. 12,173",69,,46,http://syriaca.org/manuscript/347,<bibl >CDATA</bibl>,b1,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[7]/msItem[1]/note/bibl,
"<bibl >Add. 14,582, fol. 190 b</bibl>","Add. 14,582",318,,37,http://syriaca.org/manuscript/347,<bibl >CDATA</bibl>,a7,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[8]/note/bibl[1],
"<bibl >Add. 14,597, fol. 156 a</bibl>","Add. 14,597",333,,37,http://syriaca.org/manuscript/347,<bibl >CDATA</bibl>,a7,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[8]/note/bibl[2],
"<bibl >Add. 14,578</bibl>","Add. 14,578",314,,25,http://syriaca.org/manuscript/356,<bibl >CDATA</bibl>,a1,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[1]/note/bibl,
"<bibl >Add. 14,578, no. 1</bibl>","Add. 14,578",314,,32,http://syriaca.org/manuscript/356,<bibl >CDATA</bibl>,b1,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[1]/msItem[1]/note/bibl,
"<bibl >Add. 14,578, no. 9</bibl>","Add. 14,578",314,,32,http://syriaca.org/manuscript/356,<bibl >CDATA</bibl>,b2,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[1]/msItem[2]/note/bibl,
"<bibl >Add. 14,578, no. 4</bibl>","Add. 14,578",314,,32,http://syriaca.org/manuscript/356,<bibl >CDATA</bibl>,b4,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[1]/msItem[4]/note/bibl,
"<bibl >Add. 14,578, no. 5</bibl>","Add. 14,578",314,,32,http://syriaca.org/manuscript/356,<bibl >CDATA</bibl>,b6,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[1]/msItem[6]/note/bibl,
"<bibl >Add. 14,578, no. 13</bibl>","Add. 14,578",314,,33,http://syriaca.org/manuscript/356,<bibl >CDATA</bibl>,b5,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[1]/msItem[5]/note/bibl,
"<bibl >Add. 14,578, no. 23</bibl>","Add. 14,578",314,,33,http://syriaca.org/manuscript/356,<bibl >CDATA</bibl>,b7,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[1]/msItem[7]/note/bibl,
"<bibl >Add. 14,575, no. 2</bibl>","Add. 14,575",311,,32,http://syriaca.org/manuscript/357,<bibl >CDATA</bibl>,b9,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[8]/msItem[2]/note/bibl,
"<bibl >Add. 14,614, no. 6</bibl>","Add. 14,614",353,,32,http://syriaca.org/manuscript/358,<bibl >CDATA</bibl>,a9,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[9]/note/bibl[1],
"<bibl >Add. 14,614, fol. 119 a</bibl>","Add. 14,614",354,,37,http://syriaca.org/manuscript/358,<bibl >CDATA</bibl>,a7,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[7]/note[1]/bibl,
"<bibl >Add. 14,658, fol. 71 a, col. a</bibl>","Add. 14,658",426,,44,http://syriaca.org/manuscript/358,<bibl >CDATA</bibl>,a15,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[15]/note/bibl,
"<bibl >Add. 12,174, no. 17</bibl>","Add. 12,174",70,,33,http://syriaca.org/manuscript/362,<bibl >CDATA</bibl>,a1,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/note/bibl,
"<bibl >Add. 14,732, fol. 154 a</bibl>","Add. 14,732",640,,37,http://syriaca.org/manuscript/364,<bibl >CDATA</bibl>,a4,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[4]/note/bibl,
"<bibl >Add. 14,670, foll. 19-22</bibl>","Add. 14,670",516,,38,http://syriaca.org/manuscript/368,<bibl >CDATA</bibl>,,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[3]/physDesc/handDesc/handNote/desc/bibl,
"<bibl >Add. 12,155, no. xlix.</bibl>","Add. 12,155",30,,36,http://syriaca.org/manuscript/371,<bibl >CDATA</bibl>,p1a5,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msContents/msItem[5]/note[2]/bibl,
"<bibl >Add. 12,174, no. 19</bibl>","Add. 12,174",70,,33,http://syriaca.org/manuscript/371,<bibl >CDATA</bibl>,p2a2,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[2]/msContents/msItem[2]/note/bibl,
"<bibl >Add. 14,578, no. 10</bibl>","Add. 14,578",314,,33,http://syriaca.org/manuscript/399,<bibl >CDATA</bibl>,p1b8,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msContents/msItem[6]/msItem[1]/note/bibl,
"<bibl >Add. 14,578, no. 13</bibl>","Add. 14,578",314,,33,http://syriaca.org/manuscript/399,<bibl >CDATA</bibl>,p1b9,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msContents/msItem[6]/msItem[2]/note/bibl,
"<bibl >Add. 14,578, no. 15</bibl>","Add. 14,578",314,,33,http://syriaca.org/manuscript/399,<bibl >CDATA</bibl>,p1b10,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msContents/msItem[6]/msItem[3]/note/bibl,
"<bibl >Add. 14,578, no. 18</bibl>","Add. 14,578",314,,33,http://syriaca.org/manuscript/399,<bibl >CDATA</bibl>,p1b12,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msContents/msItem[6]/msItem[5]/note/bibl,
"<bibl >Add. 14,578, no. 17</bibl>","Add. 14,578",314,,33,http://syriaca.org/manuscript/399,<bibl >CDATA</bibl>,p1b13,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msContents/msItem[6]/msItem[6]/note/bibl,
"<bibl >Add. 14,578, no. 16</bibl>","Add. 14,578",314,,33,http://syriaca.org/manuscript/399,<bibl >CDATA</bibl>,p1b14,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msContents/msItem[6]/msItem[7]/note/bibl,
"<bibl >Add. 12,167, fol. 203a</bibl>","Add. 12,167",49,,36,http://syriaca.org/manuscript/40,<bibl >CDATA</bibl>,p4b5,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[4]/msContents/msItem/msItem[5]/listBibl/bibl,
"<bibl >Add. 17,169, fol. 62a</bibl>","Add. 17,169",819,,35,http://syriaca.org/manuscript/40,<bibl >CDATA</bibl>,p4b3,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[4]/msContents/msItem/msItem[1]/listBibl/bibl,
"<bibl >Add. 17,169, fol. 76a</bibl>","Add. 17,169",819,,35,http://syriaca.org/manuscript/40,<bibl >CDATA</bibl>,p4b2,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[4]/msContents/msItem/msItem[3]/listBibl/bibl,
"<bibl >Add. 17,201, foll. 26—32, above, p. 465, no. DLXXXI</bibl>","Add. 17,201",863,,65,http://syriaca.org/manuscript/40,<bibl >CDATA</bibl>,p4b4,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[4]/msContents/msItem/msItem[4]/listBibl/bibl,
"<bibl >See Add. 12,174, no. 76</bibl>","Add. 12,174",70,http://syriaca.org/manuscript/70,37,http://syriaca.org/manuscript/405,<bibl >CDATA</bibl>,b1,done,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[4]/msItem[1]/listBibl/bibl,
"<bibl >Add. 12,151, fol. 173 a</bibl>","Add. 12,151",26,,37,http://syriaca.org/manuscript/409,<bibl >CDATA</bibl>,b3,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[2]/msItem[3]/note/bibl,
"<bibl >Add. 12,174, no. 9</bibl>","Add. 12,174",70,,32,http://syriaca.org/manuscript/409,<bibl >CDATA</bibl>,b4,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[2]/msItem[5]/note/bibl,
"<bibl >Add. 12,174, no. 35</bibl>","Add. 12,174",70,,33,http://syriaca.org/manuscript/409,<bibl >CDATA</bibl>,,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[2]/msItem[4]/note/bibl,
"<bibl >Add. 12,174, no. 13</bibl>","Add. 12,174",70,,33,http://syriaca.org/manuscript/409,<bibl >CDATA</bibl>,b5,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[2]/msItem[6]/note/bibl,
"<bibl >Add. 12,174, no. 16</bibl>","Add. 12,174",70,,33,http://syriaca.org/manuscript/409,<bibl >CDATA</bibl>,b13,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[2]/msItem[14]/note[2]/bibl,
"<bibl >Add. 12,174, no. 25</bibl>","Add. 12,174",70,,33,http://syriaca.org/manuscript/409,<bibl >CDATA</bibl>,b14,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[2]/msItem[15]/note/bibl[1],
"<bibl >Add. 12,174, no. 60</bibl>","Add. 12,174",70,,33,http://syriaca.org/manuscript/409,<bibl >CDATA</bibl>,b20,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[2]/msItem[21]/note/bibl,
"<bibl >Add. 12,174, no. 64</bibl>","Add. 12,174",70,,33,http://syriaca.org/manuscript/409,<bibl >CDATA</bibl>,b21,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[2]/msItem[22]/note/bibl,
"<bibl >Add. 12,174, no. 74</bibl>","Add. 12,174",70,,33,http://syriaca.org/manuscript/409,<bibl >CDATA</bibl>,b26,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[2]/msItem[27]/note/bibl,
"<bibl >Add. 12,174, no. 63</bibl>","Add. 12,174",70,,33,http://syriaca.org/manuscript/409,<bibl >CDATA</bibl>,b32,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[2]/msItem[33]/note/bibl,
"<bibl >Add. 12,174, no. 56</bibl>","Add. 12,174",70,,33,http://syriaca.org/manuscript/409,<bibl >CDATA</bibl>,b36,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[2]/msItem[37]/note/bibl,
"<bibl >Add. 12,174, no. 57</bibl>","Add. 12,174",70,,33,http://syriaca.org/manuscript/409,<bibl >CDATA</bibl>,b38,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[2]/msItem[39]/note/bibl,
"<bibl >Add. 14,644, no. 8</bibl>","Add. 14,644",408,,32,http://syriaca.org/manuscript/409,<bibl >CDATA</bibl>,b7,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[2]/msItem[8]/note/bibl,
"<bibl >Add. 14,644, no. 9</bibl>","Add. 14,644",408,,32,http://syriaca.org/manuscript/409,<bibl >CDATA</bibl>,b25,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[2]/msItem[26]/note/bibl,
"<bibl >Add. 14,644, no. 10</bibl>","Add. 14,644",408,,33,http://syriaca.org/manuscript/409,<bibl >CDATA</bibl>,b17,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[2]/msItem[18]/note/bibl,
"<bibl >Add. 14,732, fol. 90 b</bibl>","Add. 14,732",640,,36,http://syriaca.org/manuscript/409,<bibl >CDATA</bibl>,b40,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[2]/msItem[41]/note/bibl,
"<bibl >Add. 14,645, no. 15</bibl>","Add. 14,645",409,,33,http://syriaca.org/manuscript/413,<bibl >CDATA</bibl>,b65,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[3]/msItem[2]/note/bibl,
"<bibl >Add. 14,650, fol. 161 b</bibl>","Add. 14,650",418,,37,http://syriaca.org/manuscript/413,<bibl >CDATA</bibl>,b4,batch1,structure-1,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[1]/msItem[4]/note[2]/bibl[1],
